# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.837000000000000000e+03,3.079999999999999960e-01,1.779999999999999916e-01,5.170000000000000151e-01,-5.000000000000000104e-03,-2.000000000000000042e-03,5.000000000000000104e-03,2.800000000000000266e-01,-9.800000000000000377e-02,9.804999999999999716e+00,2.767541217951262171e-03,-1.383770608975631086e-03,2.767541217951262171e-03,9.999913832679337977e-01,1.880856305360794067e-01,1.608645170927047729e-01,1.012779101729393005e-01,1.757321804761886597e-01,6.767883300781250000e-01,6.100921630859375000e-01,4.290771484375000000e-01,6.477661132812500000e-01,3.847999999999999865e+00,6.380838234733246850e+01,-3.052157815545797348e-03,-4.313720390200614929e-03,2.833988401107490063e-04,1.360000000000000098e-01,1.099999999999999936e-02,2.900000000000000147e-02
1.970100000000000000e+04,3.079999999999999960e-01,1.779999999999999916e-01,5.170000000000000151e-01,-4.000000000000000083e-03,-2.000000000000000042e-03,5.000000000000000104e-03,2.839999999999999747e-01,-1.549999999999999989e-01,9.830999999999999517e+00,4.151311826926892823e-03,-1.383770608975631086e-03,2.767541217951262171e-03,9.999865961624806454e-01,1.508140563964843750e-01,1.666912138462066650e-01,1.363800764083862305e-01,1.721052825450897217e-01,5.839843750000000000e-01,6.262969970703125000e-01,5.425567626953125000e-01,6.399536132812500000e-01,3.842000000000000082e+00,6.381148105975198348e+01,-3.826825413852930069e-04,-8.420814992859959602e-04,3.096139989793300629e-04,1.059999999999999970e-01,-5.600000000000000117e-02,2.199999999999999872e-02
2.957900000000000000e+04,3.079999999999999960e-01,1.779999999999999916e-01,5.170000000000000151e-01,-4.000000000000000083e-03,-3.000000000000000062e-03,3.000000000000000062e-03,2.280000000000000082e-01,-1.920000000000000040e-01,9.739000000000000767e+00,4.151311826926892823e-03,-1.383770608975631086e-03,2.767541217951262171e-03,9.999865961624806454e-01,1.390440016984939575e-01,1.798807233572006226e-01,1.421502381563186646e-01,1.658995002508163452e-01,5.493927001953125000e-01,6.577453613281250000e-01,5.584259033203125000e-01,6.231842041015625000e-01,3.847999999999999865e+00,6.391176997582360997e+01,-4.613855271600186825e-04,7.249583140946924686e-04,3.875160182360559702e-04,3.699999999999999817e-02,-8.100000000000000255e-02,3.000000000000000062e-03
3.945000000000000000e+04,3.079999999999999960e-01,1.779999999999999916e-01,5.170000000000000151e-01,-4.000000000000000083e-03,-4.000000000000000083e-03,2.000000000000000042e-03,2.770000000000000240e-01,-2.690000000000000169e-01,9.743999999999999773e+00,4.151311826926892823e-03,-2.767541217951262171e-03,2.767541217951262171e-03,9.999837238882088863e-01,1.386757344007492065e-01,1.934676617383956909e-01,1.512514501810073853e-01,1.443471461534500122e-01,5.493316650390625000e-01,6.899261474609375000e-01,5.852050781250000000e-01,5.657806396484375000e-01,3.842000000000000082e+00,6.399000942646301837e+01,-1.550464192405343056e-03,2.617547987028956413e-03,2.873258199542760849e-04,7.099999999999999367e-02,-1.729999999999999871e-01,2.599999999999999881e-02
4.931500000000000000e+04,3.079999999999999960e-01,1.779999999999999916e-01,5.170000000000000151e-01,-4.000000000000000083e-03,-5.000000000000000104e-03,2.000000000000000042e-03,8.500000000000000611e-02,-2.069999999999999896e-01,9.615000000000000213e+00,4.151311826926892823e-03,-2.767541217951262171e-03,2.767541217951262171e-03,9.999837238882088863e-01,1.432590037584304810e-01,1.933137327432632446e-01,1.462960392236709595e-01,1.452130824327468872e-01,5.626525878906250000e-01,6.895904541015625000e-01,5.713195800781250000e-01,5.682525634765625000e-01,3.842000000000000082e+00,6.402465424649454917e+01,-1.911886967718601227e-03,2.169587416574358940e-03,2.938305551651865244e-04,-1.200000000000000025e-02,-1.549999999999999989e-01,2.199999999999999872e-02
5.918200000000000000e+04,3.079999999999999960e-01,1.779999999999999916e-01,5.170000000000000151e-01,-4.000000000000000083e-03,-5.000000000000000104e-03,2.000000000000000042e-03,5.500000000000000028e-02,-2.139999999999999958e-01,1.010999999999999943e+01,4.151311826926892823e-03,-4.151311826926892823e-03,2.767541217951262171e-03,9.999789367460887313e-01,1.386620402336120605e-01,1.929790973663330078e-01,1.560262441635131836e-01,1.402241587638854980e-01,5.493011474609375000e-01,6.888580322265625000e-01,5.982513427734375000e-01,5.538635253906250000e-01,3.842000000000000082e+00,6.400525387638569441e+01,-1.501501770690083504e-03,2.974903210997581482e-03,2.310896961716935039e-04,-1.600000000000000033e-02,-1.620000000000000051e-01,3.599999999999999728e-02
6.906600000000000000e+04,3.079999999999999960e-01,1.779999999999999916e-01,5.170000000000000151e-01,-5.000000000000000104e-03,-6.000000000000000125e-03,5.000000000000000104e-03,1.839999999999999969e-01,-3.430000000000000271e-01,1.005700000000000038e+01,4.151311826926892823e-03,-4.151311826926892823e-03,2.767541217951262171e-03,9.999789367460887313e-01,1.372978836297988892e-01,1.761228293180465698e-01,1.559926420450210571e-01,1.565516442060470581e-01,5.452728271484375000e-01,6.498260498046875000e-01,5.981597900390625000e-01,5.996704101562500000e-01,3.842000000000000082e+00,6.380886841986886537e+01,-3.718239895533770323e-05,1.623486867174506187e-03,2.363035891903564334e-04,-8.699999999999999400e-02,-1.130000000000000032e-01,3.300000000000000155e-02
7.893000000000000000e+04,3.079999999999999960e-01,1.779999999999999916e-01,5.170000000000000151e-01,-5.000000000000000104e-03,-6.000000000000000125e-03,6.000000000000000125e-03,2.889999999999999791e-01,-3.430000000000000271e-01,9.907000000000000028e+00,4.151311826926892823e-03,-5.535082435902524342e-03,2.767541217951262171e-03,9.999722347086195118e-01,1.341632306575775146e-01,1.864647269248962402e-01,1.585457324981689453e-01,1.461099684238433838e-01,5.359497070312500000e-01,6.742248535156250000e-01,6.050109863281250000e-01,5.708007812500000000e-01,3.842000000000000082e+00,6.373941473032478200e+01,-6.776450318284332752e-04,2.746568759903311729e-03,2.391943853581324220e-04,-9.600000000000000200e-02,-1.000000000000000056e-01,2.999999999999999889e-02
8.879900000000000000e+04,3.079999999999999960e-01,1.779999999999999916e-01,5.170000000000000151e-01,-6.000000000000000125e-03,-7.000000000000000146e-03,6.000000000000000125e-03,2.389999999999999902e-01,-1.229999999999999982e-01,9.643000000000000682e+00,4.151311826926892823e-03,-5.535082435902524342e-03,2.767541217951262171e-03,9.999722347086195118e-01,1.106206476688385010e-01,1.717721521854400635e-01,1.733527481555938721e-01,1.689307391643524170e-01,4.606475830078125000e-01,6.380310058593750000e-01,6.419372558593750000e-01,6.309051513671875000e-01,3.847999999999999865e+00,6.367750124100150799e+01,2.540947170928120613e-03,2.782048191875219345e-03,3.403770388104021549e-04,-1.449999999999999900e-01,-5.000000000000000278e-02,4.000000000000000083e-03
9.867100000000000000e+04,3.079999999999999960e-01,1.779999999999999916e-01,5.170000000000000151e-01,-7.000000000000000146e-03,-7.000000000000000146e-03,6.000000000000000125e-03,1.079999999999999988e-01,-8.799999999999999489e-02,1.028500000000000014e+01,2.767541217951262171e-03,-5.535082435902524342e-03,2.767541217951262171e-03,9.999770218828238910e-01,1.307483911514282227e-01,1.705000698566436768e-01,1.611326932907104492e-01,1.628073751926422119e-01,5.246124267578125000e-01,6.348571777343750000e-01,6.107940673828125000e-01,6.151885986328125000e-01,3.847999999999999865e+00,6.372971758322369595e+01,9.627236286178231239e-04,1.615470275282859802e-03,2.485580916982144117e-04,-7.199999999999999456e-02,-4.900000000000000189e-02,2.400000000000000050e-02
