# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.954000000000000000e+03,2.000000000000000042e-03,3.489999999999999769e-01,5.290000000000000258e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000104e-03,1.630000000000000060e-01,-3.820000000000000062e-01,9.868999999999999773e+00,-0.000000000000000000e+00,-2.767541217951262171e-03,1.383770608975631086e-03,9.999952129357964070e-01,8.727189898490905762e-02,6.489959359169006348e-02,9.872925281524658203e-02,6.018727645277976990e-02,7.080078125000000000e-01,5.953674316406250000e-01,7.573547363281250000e-01,5.689086914062500000e-01,3.604999999999999982e+00,3.171131759122484794e+01,2.193953550886362791e-04,5.259488825686275959e-04,-3.654857282526791096e-04,-1.400000000000000029e-02,-1.320000000000000062e-01,2.000000000000000042e-02
1.971300000000000000e+04,2.000000000000000042e-03,3.489999999999999769e-01,5.290000000000000258e-01,-1.000000000000000021e-03,0.000000000000000000e+00,-8.999999999999999320e-03,1.789999999999999925e-01,-3.400000000000000244e-01,9.785999999999999588e+00,-0.000000000000000000e+00,-4.151311826926892823e-03,1.383770608975631086e-03,9.999904258486764785e-01,7.513909786939620972e-02,7.410185784101486206e-02,9.703461080789566040e-02,6.641263514757156372e-02,6.495819091796875000e-01,6.443023681640625000e-01,7.504119873046875000e-01,6.036682128906250000e-01,3.604999999999999982e+00,3.187443442057882947e+01,4.620870167855173349e-04,9.622999932616949081e-04,-1.899552880786359310e-04,-2.900000000000000147e-02,-6.600000000000000311e-02,-1.200000000000000025e-02
2.970700000000000000e+04,2.000000000000000042e-03,3.489999999999999769e-01,5.290000000000000258e-01,-2.000000000000000042e-03,0.000000000000000000e+00,-1.099999999999999936e-02,2.900000000000000147e-02,-1.710000000000000131e-01,9.794000000000000483e+00,-0.000000000000000000e+00,-4.151311826926892823e-03,1.383770608975631086e-03,9.999904258486764785e-01,8.067853003740310669e-02,6.449931114912033081e-02,1.064381822943687439e-01,6.205825135111808777e-02,6.770477294921875000e-01,5.931549072265625000e-01,7.873992919921875000e-01,5.795288085937500000e-01,3.604999999999999982e+00,3.197495118315188378e+01,7.584815029986202717e-04,9.172821301035583019e-04,-3.633548622019588947e-04,-3.400000000000000244e-02,-1.600000000000000033e-02,1.700000000000000122e-02
3.946000000000000000e+04,2.000000000000000042e-03,3.489999999999999769e-01,5.280000000000000249e-01,-2.000000000000000042e-03,0.000000000000000000e+00,-1.099999999999999936e-02,-7.299999999999999545e-02,-1.499999999999999944e-01,9.901999999999999247e+00,-0.000000000000000000e+00,-4.151311826926892823e-03,1.383770608975631086e-03,9.999904258486764785e-01,7.058016210794448853e-02,7.501772791147232056e-02,1.000288650393486023e-01,6.796603649854660034e-02,6.260070800781250000e-01,6.489715576171875000e-01,7.626037597656250000e-01,6.120758056640625000e-01,3.604999999999999982e+00,3.196664541868624099e+01,7.285051979124546051e-04,1.187244895845651627e-03,-1.657514949329197407e-04,-6.900000000000000577e-02,-2.699999999999999969e-02,-8.999999999999999320e-03
4.945700000000000000e+04,2.000000000000000042e-03,3.489999999999999769e-01,5.280000000000000249e-01,-3.000000000000000062e-03,0.000000000000000000e+00,-1.099999999999999936e-02,1.600000000000000033e-02,-1.859999999999999987e-01,9.791999999999999815e+00,-1.383770608975631086e-03,-4.151311826926892823e-03,1.383770608975631086e-03,9.999894684285025592e-01,8.818124234676361084e-02,7.277154922485351562e-02,9.922227263450622559e-02,5.336208641529083252e-02,7.121276855468750000e-01,6.374511718750000000e-01,7.593536376953125000e-01,5.288848876953125000e-01,3.604999999999999982e+00,3.196097355977718735e+01,-2.721993951126933098e-04,9.904603939503431320e-04,-3.676193009596318007e-04,-4.700000000000000011e-02,-2.199999999999999872e-02,5.000000000000000104e-03
5.922500000000000000e+04,2.000000000000000042e-03,3.489999999999999769e-01,5.280000000000000249e-01,-4.000000000000000083e-03,0.000000000000000000e+00,-1.000000000000000021e-02,6.800000000000000488e-02,2.730000000000000204e-01,9.779999999999999361e+00,-1.383770608975631086e-03,-4.151311826926892823e-03,1.383770608975631086e-03,9.999894684285025592e-01,7.965400815010070801e-02,6.829331815242767334e-02,8.863197267055511475e-02,7.687243819236755371e-02,6.720581054687500000e-01,6.138458251953125000e-01,7.141571044921875000e-01,6.583251953125000000e-01,3.604999999999999982e+00,3.195226678546901766e+01,5.710777477361261845e-04,1.297338349104393274e-05,-1.387214142596349120e-04,-3.799999999999999906e-02,4.200000000000000261e-02,0.000000000000000000e+00
6.920800000000000000e+04,2.000000000000000042e-03,3.489999999999999769e-01,5.280000000000000249e-01,-4.000000000000000083e-03,0.000000000000000000e+00,-8.999999999999999320e-03,1.299999999999999940e-02,-1.299999999999999940e-02,9.906000000000000583e+00,-1.383770608975631086e-03,-4.151311826926892823e-03,1.383770608975631086e-03,9.999894684285025592e-01,8.518700301647186279e-02,5.413661524653434753e-02,1.055206209421157837e-01,6.822825968265533447e-02,6.994018554687500000e-01,5.343475341796875000e-01,7.850646972656250000e-01,6.143798828125000000e-01,3.600000000000000089e+00,3.191360882905888019e+01,1.119747059419751167e-03,2.030319883488118649e-04,-4.100565565750002861e-04,-6.800000000000000488e-02,9.099999999999999756e-02,1.200000000000000025e-02
7.896800000000000000e+04,2.000000000000000042e-03,3.489999999999999769e-01,5.280000000000000249e-01,-5.000000000000000104e-03,0.000000000000000000e+00,-6.000000000000000125e-03,7.900000000000000078e-02,-1.390000000000000124e-01,1.015099999999999980e+01,-1.383770608975631086e-03,-4.151311826926892823e-03,1.383770608975631086e-03,9.999894684285025592e-01,8.171637356281280518e-02,7.068522274494171143e-02,8.788450062274932861e-02,7.158885896205902100e-02,6.820373535156250000e-01,6.265563964843750000e-01,7.107849121093750000e-01,6.313018798828125000e-01,3.604999999999999982e+00,3.179153474949672642e+01,2.300228079548105597e-04,1.712375233182683587e-04,-1.639607507968321443e-04,4.000000000000000083e-03,3.899999999999999994e-02,-1.000000000000000021e-03
8.896000000000000000e+04,2.000000000000000042e-03,3.499999999999999778e-01,5.280000000000000249e-01,-5.000000000000000104e-03,0.000000000000000000e+00,-2.000000000000000042e-03,3.500000000000000333e-02,-1.700000000000000122e-01,1.007600000000000051e+01,-1.383770608975631086e-03,-4.151311826926892823e-03,1.383770608975631086e-03,9.999894684285025592e-01,8.388236910104751587e-02,6.171344965696334839e-02,1.028799787163734436e-01,6.206419318914413452e-02,6.942749023437500000e-01,5.792999267578125000e-01,7.760162353515625000e-01,5.812835693359375000e-01,3.593999999999999861e+00,3.165545266702634564e+01,6.293416954576969147e-04,6.065246998332440853e-04,-3.779082617256790400e-04,-2.000000000000000042e-02,4.800000000000000100e-02,1.600000000000000033e-02
9.872000000000000000e+04,2.000000000000000042e-03,3.499999999999999778e-01,5.280000000000000249e-01,-6.000000000000000125e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.900000000000000466e-02,-1.219999999999999973e-01,9.958999999999999631e+00,-1.383770608975631086e-03,-2.767541217951262171e-03,1.383770608975631086e-03,9.999942555202055994e-01,7.278786599636077881e-02,7.376942038536071777e-02,9.486357867717742920e-02,6.840935349464416504e-02,6.375427246093750000e-01,6.425933837890625000e-01,7.413330078125000000e-01,6.144561767578125000e-01,3.604999999999999982e+00,3.158310076998400362e+01,5.437085637822747231e-04,8.924007415771484375e-04,-1.528359571238979697e-04,-3.799999999999999906e-02,3.699999999999999817e-02,-7.000000000000000146e-03
1.087190000000000000e+05,2.000000000000000042e-03,3.499999999999999778e-01,5.280000000000000249e-01,-6.000000000000000125e-03,1.000000000000000021e-03,0.000000000000000000e+00,6.500000000000000222e-02,-9.099999999999999756e-02,9.839999999999999858e+00,-1.383770608975631086e-03,-2.767541217951262171e-03,1.383770608975631086e-03,9.999942555202055994e-01,8.804130554199218750e-02,5.940876528620719910e-02,9.842865169048309326e-02,6.358361244201660156e-02,7.114868164062500000e-01,5.644531250000000000e-01,7.561340332031250000e-01,5.880737304687500000e-01,3.604999999999999982e+00,3.154560027380115628e+01,4.736630071420222521e-04,2.020734245888888836e-04,-3.808655310422182083e-04,-2.199999999999999872e-02,6.099999999999999867e-02,1.600000000000000033e-02
1.184710000000000000e+05,3.000000000000000062e-03,3.499999999999999778e-01,5.280000000000000249e-01,-4.000000000000000083e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.620000000000000051e-01,-1.000000000000000056e-01,9.823000000000000398e+00,-1.383770608975631086e-03,-2.767541217951262171e-03,1.383770608975631086e-03,9.999942555202055994e-01,1.073740124702453613e-01,5.157883092761039734e-02,6.116631999611854553e-02,8.904807269573211670e-02,7.908782958984375000e-01,5.181121826171875000e-01,5.744781494140625000e-01,7.160186767578125000e-01,3.604999999999999982e+00,3.151551845970503862e+01,-2.842346439138054848e-04,-2.721752272918820381e-03,-1.674805826041847467e-04,4.200000000000000261e-02,8.200000000000000344e-02,0.000000000000000000e+00
1.284700000000000000e+05,3.000000000000000062e-03,3.499999999999999778e-01,5.290000000000000258e-01,-2.000000000000000042e-03,1.000000000000000021e-03,0.000000000000000000e+00,1.710000000000000131e-01,2.600000000000000089e-01,9.734999999999999432e+00,-1.383770608975631086e-03,-2.767541217951262171e-03,1.383770608975631086e-03,9.999942555202055994e-01,9.189866483211517334e-02,5.119966343045234680e-02,9.588359296321868896e-02,7.077883183956146240e-02,7.286071777343750000e-01,5.157928466796875000e-01,7.456207275390625000e-01,6.270446777343750000e-01,3.604999999999999982e+00,3.157601930071940544e+01,7.664676522836089134e-04,-5.072326748631894588e-04,-3.948225057683885098e-04,2.199999999999999872e-02,6.300000000000000044e-02,7.000000000000000146e-03
1.382230000000000000e+05,3.000000000000000062e-03,3.499999999999999778e-01,5.290000000000000258e-01,-2.000000000000000042e-03,1.000000000000000021e-03,0.000000000000000000e+00,1.449999999999999900e-01,-6.300000000000000044e-02,1.010299999999999976e+01,-1.383770608975631086e-03,-2.767541217951262171e-03,1.383770608975631086e-03,9.999942555202055994e-01,7.552888244390487671e-02,7.250768691301345825e-02,9.323469549417495728e-02,6.814580410718917847e-02,6.515655517578125000e-01,6.360778808593750000e-01,7.343902587890625000e-01,6.130523681640625000e-01,3.604999999999999982e+00,3.154098562265876637e+01,4.340366576798260212e-04,7.177942316047847271e-04,-1.686604809947311878e-04,1.200000000000000025e-02,-4.000000000000000083e-02,7.000000000000000146e-03
1.482220000000000000e+05,3.000000000000000062e-03,3.499999999999999778e-01,5.290000000000000258e-01,-2.000000000000000042e-03,1.000000000000000021e-03,4.000000000000000083e-03,2.030000000000000138e-01,-9.900000000000000466e-02,1.011299999999999955e+01,-1.383770608975631086e-03,-2.767541217951262171e-03,1.383770608975631086e-03,9.999942555202055994e-01,8.636871725320816040e-02,7.426615804433822632e-02,9.093230217695236206e-02,5.656982213258743286e-02,7.048645019531250000e-01,6.460723876953125000e-01,7.254028320312500000e-01,5.487823486328125000e-01,3.600000000000000089e+00,3.141049945026362522e+01,-4.271675425115972757e-04,7.240462582558393478e-04,-2.787902776617556810e-04,4.499999999999999833e-02,-8.699999999999999400e-02,-1.099999999999999936e-02
