# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.846000000000000000e+03,-3.200000000000000067e-02,-1.099999999999999936e-02,5.500000000000000028e-02,0.000000000000000000e+00,-7.000000000000000146e-03,0.000000000000000000e+00,0.000000000000000000e+00,-6.099999999999999867e-02,9.814000000000000057e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.869000000000000217e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03,2.000000000000000042e-03
1.972100000000000000e+04,-3.200000000000000067e-02,-1.099999999999999936e-02,5.500000000000000028e-02,0.000000000000000000e+00,-7.000000000000000146e-03,0.000000000000000000e+00,5.000000000000000104e-03,-5.899999999999999689e-02,9.823999999999999844e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.869000000000000217e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.957700000000000000e+04,-3.200000000000000067e-02,-1.099999999999999936e-02,5.500000000000000028e-02,0.000000000000000000e+00,-7.000000000000000146e-03,0.000000000000000000e+00,4.000000000000000083e-03,-6.099999999999999867e-02,9.823999999999999844e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.869000000000000217e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000062e-03,2.000000000000000042e-03,0.000000000000000000e+00
3.949500000000000000e+04,-3.200000000000000067e-02,-1.099999999999999936e-02,5.500000000000000028e-02,0.000000000000000000e+00,-7.000000000000000146e-03,0.000000000000000000e+00,1.299999999999999940e-02,-4.399999999999999745e-02,9.826000000000000512e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,2.723492681980133057e-01,2.523562610149383545e-01,5.703447386622428894e-02,7.508055865764617920e-02,8.144989013671875000e-01,7.894439697265625000e-01,2.601165771484375000e-01,3.306732177734375000e-01,3.869000000000000217e+00,6.695418911971812292e+01,-1.665620319545269012e-02,-1.613862579688429832e-03,-1.168166636489331722e-05,-5.000000000000000104e-03,-1.000000000000000021e-03,2.000000000000000042e-03
4.936000000000000000e+04,-3.200000000000000067e-02,-1.099999999999999936e-02,5.500000000000000028e-02,0.000000000000000000e+00,-7.000000000000000146e-03,0.000000000000000000e+00,-5.000000000000000104e-03,-1.400000000000000029e-02,9.805999999999999162e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,1.613776832818984985e-01,1.646443456411361694e-01,1.675444394350051880e-01,1.636531800031661987e-01,6.071472167968750000e-01,6.156311035156250000e-01,6.230468750000000000e-01,6.130828857421875000e-01,3.869000000000000217e+00,6.699486731510765480e+01,2.195819979533553123e-04,3.036850830540060997e-04,-3.747497657968779095e-06,-4.000000000000000083e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.922700000000000000e+04,-3.200000000000000067e-02,-1.099999999999999936e-02,5.500000000000000028e-02,0.000000000000000000e+00,-6.000000000000000125e-03,1.000000000000000021e-03,6.900000000000000577e-02,-5.600000000000000117e-02,9.900999999999999801e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,1.760211288928985596e-01,1.619748175144195557e-01,1.575287282466888428e-01,1.624884307384490967e-01,6.705169677734375000e-01,6.345062255859375000e-01,6.225433349609375000e-01,6.358642578125000000e-01,3.741999999999999993e+00,6.707574978516372255e+01,-7.627746672369539738e-04,-8.063556742854416370e-04,-5.451971082948148251e-05,-4.000000000000000083e-03,3.000000000000000062e-03,1.200000000000000025e-02
6.909800000000000000e+04,-3.200000000000000067e-02,-1.099999999999999936e-02,5.500000000000000028e-02,0.000000000000000000e+00,-6.000000000000000125e-03,1.000000000000000021e-03,-1.000000000000000021e-03,1.199999999999999956e-01,9.875000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,1.435231566429138184e-01,1.746307909488677979e-01,1.687657237052917480e-01,1.718381345272064209e-01,6.174011230468750000e-01,7.033538818359375000e-01,6.881561279296875000e-01,6.961822509765625000e-01,3.568000000000000060e+00,6.715166216353514983e+01,9.524692432023584843e-04,1.189434435218572617e-03,2.050801413133740425e-04,2.000000000000000042e-03,1.000000000000000021e-03,-4.900000000000000189e-02
7.896800000000000000e+04,-3.200000000000000067e-02,-1.099999999999999936e-02,5.500000000000000028e-02,0.000000000000000000e+00,-5.000000000000000104e-03,1.000000000000000021e-03,4.100000000000000172e-02,-1.600000000000000033e-02,9.794000000000000483e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,1.637618094682693481e-01,1.429525166749954224e-01,1.587608605623245239e-01,1.955099850893020630e-01,6.791229248046875000e-01,6.198425292968750000e-01,6.654205322265625000e-01,7.582702636718750000e-01,3.547000000000000153e+00,6.737871272119177490e+01,2.017651218920946121e-03,-2.441996708512306213e-03,9.563889761921018362e-05,-2.000000000000000042e-03,1.299999999999999940e-02,-2.299999999999999961e-02
8.883800000000000000e+04,-3.200000000000000067e-02,-1.099999999999999936e-02,5.500000000000000028e-02,0.000000000000000000e+00,-5.000000000000000104e-03,2.000000000000000042e-03,1.059999999999999970e-01,-1.409999999999999865e-01,9.996999999999999886e+00,-1.383770608975631086e-03,0.000000000000000000e+00,-0.000000000000000000e+00,9.999990425889925261e-01,1.693920046091079712e-01,1.781032830476760864e-01,1.573768407106399536e-01,1.580901890993118286e-01,6.963348388671875000e-01,7.187805175781250000e-01,6.636962890625000000e-01,6.656799316406250000e-01,3.536000000000000032e+00,6.758025662250109633e+01,-1.358844689093530178e-03,3.393233637325465679e-04,5.654787310049869120e-05,-4.200000000000000261e-02,4.499999999999999833e-02,-1.400000000000000029e-02
9.870700000000000000e+04,-3.200000000000000067e-02,-1.099999999999999936e-02,5.500000000000000028e-02,0.000000000000000000e+00,-4.000000000000000083e-03,4.000000000000000083e-03,-4.900000000000000189e-02,-5.500000000000000028e-02,1.020599999999999952e+01,-1.383770608975631086e-03,0.000000000000000000e+00,-0.000000000000000000e+00,9.999990425889925261e-01,1.857640892267227173e-01,1.313910633325576782e-01,1.617661267518997192e-01,1.854478269815444946e-01,7.354278564453125000e-01,5.843811035156250000e-01,6.736907958984375000e-01,7.346649169921875000e-01,3.547000000000000153e+00,6.772366017255092174e+01,1.275287475436925888e-03,-3.311581211164593697e-03,-1.841479534050449729e-04,-2.100000000000000130e-02,4.399999999999999745e-02,4.299999999999999656e-02
