# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.617000000000000000e+03,-2.299999999999999961e-02,1.000000000000000021e-03,4.900000000000000189e-02,0.000000000000000000e+00,-2.299999999999999961e-02,0.000000000000000000e+00,-8.999999999999999320e-03,-1.250000000000000000e-01,9.817999999999999616e+00,-5.535082435902524342e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,9.999846813138828505e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.847999999999999865e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,1.000000000000000021e-03
1.970900000000000000e+04,-2.299999999999999961e-02,1.000000000000000021e-03,4.900000000000000189e-02,0.000000000000000000e+00,-2.299999999999999961e-02,0.000000000000000000e+00,-2.000000000000000042e-03,-1.150000000000000050e-01,9.803000000000000824e+00,-5.535082435902524342e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,9.999846813138828505e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.842000000000000082e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000021e-03,-2.000000000000000042e-03,-2.000000000000000042e-03
2.943100000000000000e+04,-2.299999999999999961e-02,1.000000000000000021e-03,4.900000000000000189e-02,0.000000000000000000e+00,-2.299999999999999961e-02,0.000000000000000000e+00,3.099999999999999978e-02,-1.150000000000000050e-01,9.787000000000000810e+00,-5.535082435902524342e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,9.999846813138828505e-01,2.287485152482986450e-01,2.394360154867172241e-01,-6.091298907995223999e-02,-7.305144518613815308e-02,8.387908935546875000e-01,8.387908935546875000e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.842000000000000082e+00,3.406932533820226894e+01,-1.958604529500007629e-02,7.424576906487345695e-04,-8.705768777872435749e-06,1.000000000000000021e-03,-6.000000000000000125e-03,0.000000000000000000e+00
3.941300000000000000e+04,-2.299999999999999961e-02,1.000000000000000021e-03,4.900000000000000189e-02,0.000000000000000000e+00,-2.000000000000000042e-02,0.000000000000000000e+00,-1.600000000000000033e-02,-8.599999999999999312e-02,9.801000000000000156e+00,-5.535082435902524342e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,9.999846813138828505e-01,7.090687006711959839e-02,7.175315171480178833e-02,9.968427568674087524e-02,9.223701804876327515e-02,5.868835449218750000e-01,5.911102294921875000e-01,7.132568359375000000e-01,6.839599609375000000e-01,3.842000000000000082e+00,3.410614837078751549e+01,1.602316740900278091e-03,2.697628224268555641e-04,-3.960578033002093434e-05,-2.000000000000000042e-03,-6.000000000000000125e-03,6.000000000000000125e-03
4.906600000000000000e+04,-2.299999999999999961e-02,1.000000000000000021e-03,4.900000000000000189e-02,0.000000000000000000e+00,-1.799999999999999864e-02,0.000000000000000000e+00,-8.999999999999999320e-03,-1.229999999999999982e-01,9.884000000000000341e+00,-5.535082435902524342e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,9.999846813138828505e-01,7.064462453126907349e-02,7.689066976308822632e-02,9.425199776887893677e-02,9.320955723524093628e-02,5.891876220703125000e-01,6.198425292968750000e-01,6.962738037109375000e-01,6.920471191406250000e-01,3.821000000000000174e+00,3.414850655438095117e+01,1.298677641898393631e-03,2.370718721067532897e-04,3.122165799140930176e-05,-8.999999999999999320e-03,1.000000000000000021e-02,0.000000000000000000e+00
5.917200000000000000e+04,-2.299999999999999961e-02,1.000000000000000021e-03,4.900000000000000189e-02,0.000000000000000000e+00,-1.600000000000000033e-02,0.000000000000000000e+00,-1.299999999999999940e-02,-1.350000000000000089e-01,9.810999999999999943e+00,-5.535082435902524342e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,9.999846813138828505e-01,7.784905284643173218e-02,5.749038606882095337e-02,9.423304349184036255e-02,1.061066910624504089e-01,6.877746582031250000e-01,5.750122070312500000e-01,7.655944824218750000e-01,8.147888183593750000e-01,3.467999999999999972e+00,3.421806049638566805e+01,2.114258939400315285e-03,-1.048417878337204456e-03,-5.091006823931820691e-05,-8.999999999999999320e-03,-1.400000000000000029e-02,-1.600000000000000033e-02
6.881900000000000000e+04,-2.299999999999999961e-02,1.000000000000000021e-03,4.900000000000000189e-02,0.000000000000000000e+00,-1.400000000000000029e-02,0.000000000000000000e+00,8.699999999999999400e-02,-2.999999999999999889e-02,9.804999999999999716e+00,-5.535082435902524342e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,9.999846813138828505e-01,1.711133867502212524e-02,1.407177746295928955e-01,7.652766257524490356e-02,1.025009825825691223e-01,3.060913085937500000e-01,9.292907714843750000e-01,6.922607421875000000e-01,8.134613037109375000e-01,3.403999999999999915e+00,3.433820243761565649e+01,6.895552505739033222e-04,3.175703808665275574e-03,8.974785450845956802e-04,3.099999999999999978e-02,-7.299999999999999545e-02,-4.900000000000000189e-02
7.891800000000000000e+04,-2.299999999999999961e-02,1.000000000000000021e-03,4.900000000000000189e-02,0.000000000000000000e+00,-1.200000000000000025e-02,0.000000000000000000e+00,-1.150000000000000050e-01,-7.900000000000000078e-02,9.946999999999999176e+00,-5.535082435902524342e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,9.999846813138828505e-01,1.309441924095153809e-01,2.798900753259658813e-02,1.446271538734436035e-01,3.447221964597702026e-02,9.265899658203125000e-01,3.955078125000000000e-01,9.304351806640625000e-01,4.423828125000000000e-01,3.346000000000000085e+00,3.445795855876988867e+01,6.559432949870824814e-04,2.341856888961046934e-04,-1.278660725802183151e-03,-1.000000000000000021e-02,3.500000000000000333e-02,1.859999999999999987e-01
8.857100000000000000e+04,-2.299999999999999961e-02,1.000000000000000021e-03,5.000000000000000278e-02,-1.000000000000000021e-03,-1.000000000000000021e-02,1.000000000000000021e-03,-9.600000000000000200e-02,1.600000000000000033e-02,1.000699999999999967e+01,-6.918853044878154994e-03,-0.000000000000000000e+00,-1.383770608975631086e-03,9.999751070158922062e-01,7.180796563625335693e-02,8.076912164688110352e-02,5.430618301033973694e-02,1.322786062955856323e-01,6.771545410156250000e-01,7.246093750000000000e-01,5.745544433593750000e-01,9.102783203125000000e-01,3.346000000000000085e+00,3.457307572515489369e+01,1.106165465898811817e-03,-2.244723495095968246e-03,5.216014105826616287e-04,-4.700000000000000011e-02,1.700000000000000122e-02,-3.489999999999999769e-01
9.867100000000000000e+04,-2.299999999999999961e-02,1.000000000000000021e-03,5.000000000000000278e-02,-1.000000000000000021e-03,-8.000000000000000167e-03,1.000000000000000021e-03,5.700000000000000205e-02,-1.439999999999999891e-01,9.592999999999999972e+00,-5.535082435902524342e-03,-0.000000000000000000e+00,0.000000000000000000e+00,9.999846813138828505e-01,-2.401498705148696899e-02,1.361586153507232666e-01,2.054604142904281616e-02,2.083995044231414795e-01,0.000000000000000000e+00,9.316711425781250000e-01,3.401184082031250000e-01,9.316711425781250000e-01,3.341000000000000192e+00,3.476954016845889583e+01,3.799206111580133438e-03,-9.003407903946936131e-04,2.088162582367658615e-03,-3.000000000000000062e-03,-3.000000000000000062e-03,3.029999999999999916e-01
