# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.810000000000000000e+03,-8.999999999999999320e-03,2.590000000000000080e-01,4.630000000000000226e-01,1.200000000000000025e-02,-5.000000000000000104e-03,1.200000000000000025e-02,4.480000000000000093e-01,-1.880000000000000004e-01,9.789999999999999147e+00,2.767541217951262171e-03,4.151311826926892823e-03,1.383770608975631086e-03,9.999865961624806454e-01,1.534382551908493042e-01,1.746792942285537720e-01,1.426317840814590454e-01,1.684155315160751343e-01,6.134338378906250000e-01,6.693878173828125000e-01,5.826110839843750000e-01,6.535186767578125000e-01,3.730999999999999872e+00,6.515442049102315991e+01,-7.242293795570731163e-04,-1.927314588101580739e-04,2.821486850734800100e-04,7.199999999999999456e-02,-4.900000000000000189e-02,6.000000000000000125e-03
1.968100000000000000e+04,-8.999999999999999320e-03,2.590000000000000080e-01,4.630000000000000226e-01,1.200000000000000025e-02,-5.000000000000000104e-03,1.299999999999999940e-02,4.380000000000000004e-01,3.899999999999999994e-02,1.010699999999999932e+01,2.767541217951262171e-03,2.767541217951262171e-03,1.383770608975631086e-03,9.999913832679337977e-01,1.496741175651550293e-01,1.685683429241180420e-01,1.449817121028900146e-01,1.756874322891235352e-01,6.028747558593750000e-01,6.539154052734375000e-01,5.894470214843750000e-01,6.718902587890625000e-01,3.730999999999999872e+00,6.512860396343390335e+01,1.029550476232543588e-04,-5.011204048059880733e-04,2.975995885208249092e-04,8.799999999999999489e-02,-2.900000000000000147e-02,3.000000000000000062e-03
2.954800000000000000e+04,-8.999999999999999320e-03,2.590000000000000080e-01,4.630000000000000226e-01,1.200000000000000025e-02,-6.000000000000000125e-03,1.299999999999999940e-02,3.170000000000000040e-01,1.000000000000000021e-02,9.776999999999999247e+00,4.151311826926892823e-03,2.767541217951262171e-03,1.383770608975631086e-03,9.999865961624806454e-01,1.473222970962524414e-01,1.579000055789947510e-01,1.515988111495971680e-01,1.822806298732757568e-01,5.961761474609375000e-01,6.256866455078125000e-01,6.082916259765625000e-01,6.879425048828125000e-01,3.730999999999999872e+00,6.514798610582263905e+01,1.215819036588072777e-03,-8.529443875886499882e-04,2.475570363458245993e-04,5.800000000000000294e-02,-5.000000000000000104e-03,1.400000000000000029e-02
3.941700000000000000e+04,-8.999999999999999320e-03,2.590000000000000080e-01,4.630000000000000226e-01,1.200000000000000025e-02,-6.000000000000000125e-03,1.099999999999999936e-02,3.970000000000000195e-01,-1.019999999999999934e-01,9.757999999999999119e+00,4.151311826926892823e-03,2.767541217951262171e-03,1.383770608975631086e-03,9.999865961624806454e-01,1.552497297525405884e-01,1.684962064027786255e-01,1.408515423536300659e-01,1.752028912305831909e-01,6.184387207031250000e-01,6.537322998046875000e-01,5.773773193359375000e-01,6.707000732421875000e-01,3.730999999999999872e+00,6.521920180831115488e+01,-3.263230610173195601e-04,-8.954025106504559517e-04,2.855870698112994432e-04,3.400000000000000244e-02,0.000000000000000000e+00,4.000000000000000083e-03
4.928500000000000000e+04,-8.999999999999999320e-03,2.590000000000000080e-01,4.630000000000000226e-01,1.200000000000000025e-02,-7.000000000000000146e-03,8.999999999999999320e-03,3.459999999999999742e-01,-2.600000000000000089e-01,9.750999999999999446e+00,4.151311826926892823e-03,2.767541217951262171e-03,1.383770608975631086e-03,9.999865961624806454e-01,1.524080783128738403e-01,1.685084551572799683e-01,1.468964666128158569e-01,1.724800616502761841e-01,6.105651855468750000e-01,6.537628173828125000e-01,5.949554443359375000e-01,6.638793945312500000e-01,3.730999999999999872e+00,6.526942525313413057e+01,-6.533780106110498309e-05,-4.023386281915009022e-04,2.501039998605847359e-04,6.800000000000000488e-02,1.000000000000000021e-03,1.200000000000000025e-02
5.915400000000000000e+04,-8.999999999999999320e-03,2.590000000000000080e-01,4.630000000000000226e-01,1.200000000000000025e-02,-7.000000000000000146e-03,7.000000000000000146e-03,4.560000000000000164e-01,-1.330000000000000071e-01,9.708999999999999631e+00,4.151311826926892823e-03,2.767541217951262171e-03,1.383770608975631086e-03,9.999865961624806454e-01,1.478231549263000488e-01,1.664687395095825195e-01,1.524645984172821045e-01,1.742134392261505127e-01,5.976104736328125000e-01,6.484832763671875000e-01,6.107177734375000000e-01,6.682281494140625000e-01,3.730999999999999872e+00,6.533842324967534410e+01,5.254992283880710602e-04,-1.316588459303602576e-04,2.423665137030184269e-04,1.499999999999999944e-02,2.000000000000000042e-03,1.299999999999999940e-02
6.902200000000000000e+04,-8.999999999999999320e-03,2.590000000000000080e-01,4.630000000000000226e-01,1.200000000000000025e-02,-8.000000000000000167e-03,6.000000000000000125e-03,4.010000000000000231e-01,-2.650000000000000133e-01,9.586000000000000298e+00,4.151311826926892823e-03,2.767541217951262171e-03,1.383770608975631086e-03,9.999865961624806454e-01,1.640523523092269897e-01,1.795721799135208130e-01,1.367994695901870728e-01,1.599976867437362671e-01,6.421508789062500000e-01,6.814117431640625000e-01,5.653228759765625000e-01,6.313629150390625000e-01,3.730999999999999872e+00,6.528253705980337429e+01,-1.986716641113162041e-03,-3.257659845985472202e-04,2.323082153452560306e-04,6.400000000000000133e-02,-7.000000000000000146e-03,1.499999999999999944e-02
7.889900000000000000e+04,-8.999999999999999320e-03,2.590000000000000080e-01,4.630000000000000226e-01,1.200000000000000025e-02,-8.000000000000000167e-03,4.000000000000000083e-03,3.910000000000000142e-01,-2.250000000000000056e-01,9.521000000000000796e+00,5.535082435902524342e-03,2.767541217951262171e-03,1.383770608975631086e-03,9.999798941763461402e-01,1.482497602701187134e-01,1.723611205816268921e-01,1.521384865045547485e-01,1.692693084478378296e-01,5.998840332031250000e-01,6.646728515625000000e-01,6.108551025390625000e-01,6.568145751953125000e-01,3.725999999999999979e+00,6.544532882814864649e+01,3.380938142072409391e-05,2.961579884868115187e-04,2.474531356710940599e-04,1.499999999999999944e-02,-4.000000000000000083e-03,1.000000000000000021e-02
8.875900000000000000e+04,-8.999999999999999320e-03,2.590000000000000080e-01,4.630000000000000226e-01,1.200000000000000025e-02,-8.999999999999999320e-03,1.000000000000000021e-03,2.760000000000000231e-01,-2.199999999999999872e-02,9.680999999999999162e+00,5.535082435902524342e-03,2.767541217951262171e-03,1.383770608975631086e-03,9.999798941763461402e-01,1.547643095254898071e-01,1.709065288305282593e-01,1.455673724412918091e-01,1.718549579381942749e-01,6.170959472656250000e-01,6.598968505859375000e-01,5.911407470703125000e-01,6.623077392578125000e-01,3.730999999999999872e+00,6.555485919831846786e+01,-3.499539452604949474e-04,-4.304316826164722443e-04,2.545788884162902832e-04,1.400000000000000029e-02,-1.000000000000000021e-02,8.000000000000000167e-03
9.863300000000000000e+04,-8.999999999999999320e-03,2.590000000000000080e-01,4.630000000000000226e-01,1.200000000000000025e-02,-8.999999999999999320e-03,0.000000000000000000e+00,2.530000000000000027e-01,-8.899999999999999578e-02,9.868000000000000327e+00,5.535082435902524342e-03,2.767541217951262171e-03,1.383770608975631086e-03,9.999798941763461402e-01,1.495552957057952881e-01,1.687365174293518066e-01,1.487111747264862061e-01,1.765761971473693848e-01,6.035919189453125000e-01,6.554412841796875000e-01,6.011962890625000000e-01,6.752014160156250000e-01,3.725999999999999979e+00,6.560440214159048367e+01,2.967968175653368235e-04,-3.684216062538325787e-04,2.822775568347424269e-04,-6.000000000000000125e-03,-2.400000000000000050e-02,1.000000000000000021e-03
