# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.843000000000000000e+03,2.449999999999999956e-01,-7.000000000000000146e-03,5.160000000000000142e-01,-6.000000000000000125e-03,2.699999999999999969e-02,5.000000000000000104e-03,-6.000000000000000125e-03,-4.499999999999999833e-02,9.765000000000000568e+00,-2.767541217951262171e-03,0.000000000000000000e+00,-1.383770608975631086e-03,9.999952129357964070e-01,8.151291310787200928e-02,8.490841090679168701e-02,8.510643243789672852e-02,7.752579450607299805e-02,7.090759277343750000e-01,7.256622314453125000e-01,7.266235351562500000e-01,6.889495849609375000e-01,3.451999999999999957e+00,3.354266574501870224e+01,-1.232477952726185322e-04,3.570196568034589291e-04,-2.511091952328570187e-05,-2.299999999999999961e-02,9.199999999999999845e-02,2.900000000000000147e-02
1.971600000000000000e+04,2.449999999999999956e-01,-6.000000000000000125e-03,5.160000000000000142e-01,-6.000000000000000125e-03,2.900000000000000147e-02,5.000000000000000104e-03,8.400000000000000522e-02,-1.429999999999999882e-01,9.856999999999999318e+00,-4.151311826926892823e-03,1.383770608975631086e-03,-1.383770608975631086e-03,9.999894684285025592e-01,7.389120757579803467e-02,7.173937559127807617e-02,9.319022297859191895e-02,9.012185037136077881e-02,6.709442138671875000e-01,6.594543457031250000e-01,7.651062011718750000e-01,7.512054443359375000e-01,3.446000000000000174e+00,3.353136152059416730e+01,1.225662068463861942e-03,2.981269608426373452e-05,-3.132114579784683883e-05,-3.099999999999999978e-02,8.200000000000000344e-02,8.999999999999999320e-03
2.959100000000000000e+04,2.449999999999999956e-01,-6.000000000000000125e-03,5.160000000000000142e-01,-5.000000000000000104e-03,2.999999999999999889e-02,5.000000000000000104e-03,1.419999999999999873e-01,-1.610000000000000042e-01,1.001500000000000057e+01,-4.151311826926892823e-03,1.383770608975631086e-03,-1.383770608975631086e-03,9.999894684285025592e-01,7.793074846267700195e-02,7.838934659957885742e-02,9.347659349441528320e-02,7.912662625312805176e-02,6.910247802734375000e-01,6.933746337890625000e-01,7.653503417968750000e-01,6.971130371093750000e-01,3.451999999999999957e+00,3.352938988886841543e+01,5.296393064782023430e-04,4.816771252080798149e-04,-8.334822632605209947e-05,-4.800000000000000100e-02,6.300000000000000044e-02,4.200000000000000261e-02
3.946300000000000000e+04,2.449999999999999956e-01,-6.000000000000000125e-03,5.160000000000000142e-01,-5.000000000000000104e-03,2.999999999999999889e-02,7.000000000000000146e-03,1.539999999999999980e-01,-1.439999999999999891e-01,9.901999999999999247e+00,-4.151311826926892823e-03,1.383770608975631086e-03,-1.383770608975631086e-03,9.999894684285025592e-01,7.595003396272659302e-02,8.851610869169235229e-02,8.503883332014083862e-02,7.917622476816177368e-02,6.817474365234375000e-01,7.437591552734375000e-01,7.272796630859375000e-01,6.983184814453125000e-01,3.446000000000000174e+00,3.350470955583297439e+01,-8.166751285898499191e-06,5.994281382299959660e-04,4.022071152576245368e-05,0.000000000000000000e+00,2.299999999999999961e-02,8.999999999999999320e-03
4.933800000000000000e+04,2.449999999999999956e-01,-6.000000000000000125e-03,5.160000000000000142e-01,-4.000000000000000083e-03,2.900000000000000147e-02,7.000000000000000146e-03,3.300000000000000155e-02,-8.999999999999999667e-02,9.939999999999999503e+00,-4.151311826926892823e-03,1.383770608975631086e-03,-1.383770608975631086e-03,9.999894684285025592e-01,8.512570708990097046e-02,8.473051339387893677e-02,8.769955486059188843e-02,7.104308158159255981e-02,7.277069091796875000e-01,7.257995605468750000e-01,7.399444580078125000e-01,6.556854248046875000e-01,3.446000000000000174e+00,3.349631569072011672e+01,-3.614908200688660145e-04,5.289292312227189541e-04,-1.023100485326722264e-04,3.099999999999999978e-02,6.000000000000000125e-03,3.899999999999999994e-02
5.921200000000000000e+04,2.449999999999999956e-01,-6.000000000000000125e-03,5.160000000000000142e-01,-3.000000000000000062e-03,2.900000000000000147e-02,8.000000000000000167e-03,1.290000000000000036e-01,5.500000000000000028e-02,1.000399999999999956e+01,-4.151311826926892823e-03,1.383770608975631086e-03,-1.383770608975631086e-03,9.999894684285025592e-01,8.298511058092117310e-02,9.757273644208908081e-02,7.430436462163925171e-02,7.351858168840408325e-02,7.173004150390625000e-01,7.842559814453125000e-01,6.731262207031250000e-01,6.689605712890625000e-01,3.446000000000000174e+00,3.347408698604012045e+01,-1.064765150658786297e-03,5.000491510145366192e-04,8.281097689177840948e-05,7.599999999999999811e-02,8.000000000000000167e-03,8.000000000000000167e-03
6.908600000000000000e+04,2.449999999999999956e-01,-6.000000000000000125e-03,5.160000000000000142e-01,-3.000000000000000062e-03,2.800000000000000058e-02,1.000000000000000021e-02,1.459999999999999909e-01,-1.019999999999999934e-01,9.958999999999999631e+00,-2.767541217951262171e-03,1.383770608975631086e-03,-1.383770608975631086e-03,9.999942555202055994e-01,8.942212164402008057e-02,7.702332735061645508e-02,8.810588717460632324e-02,7.363362610340118408e-02,7.479705810546875000e-01,6.873168945312500000e-01,7.418518066406250000e-01,6.695709228515625000e-01,3.446000000000000174e+00,3.345412459456105836e+01,-1.530692825326696038e-04,6.744349229848012328e-05,-1.612263731658458710e-04,5.000000000000000104e-03,3.200000000000000067e-02,3.400000000000000244e-02
7.896000000000000000e+04,2.449999999999999956e-01,-5.000000000000000104e-03,5.160000000000000142e-01,-2.000000000000000042e-03,2.999999999999999889e-02,1.000000000000000021e-02,1.509999999999999953e-01,-3.699999999999999956e-01,1.004499999999999993e+01,-2.767541217951262171e-03,2.767541217951262171e-03,-1.383770608975631086e-03,9.999913832679337977e-01,6.455401331186294556e-02,8.072604984045028687e-02,9.517032653093338013e-02,8.738242834806442261e-02,6.196441650390625000e-01,7.061157226562500000e-01,7.738647460937500000e-01,7.384490966796875000e-01,3.446000000000000174e+00,3.341822813774832213e+01,1.212365226820111275e-03,7.793431286700069904e-04,5.030485772294923663e-05,-2.400000000000000050e-02,4.599999999999999922e-02,1.700000000000000122e-02
8.883500000000000000e+04,2.449999999999999956e-01,-5.000000000000000104e-03,5.160000000000000142e-01,-2.000000000000000042e-03,2.999999999999999889e-02,1.299999999999999940e-02,5.500000000000000028e-02,-1.739999999999999880e-01,1.007300000000000040e+01,-4.151311826926892823e-03,2.767541217951262171e-03,-1.383770608975631086e-03,9.999865961624806454e-01,8.398961275815963745e-02,8.355636149644851685e-02,9.156612306833267212e-02,6.867199391126632690e-02,7.222137451171875000e-01,7.200927734375000000e-01,7.577972412109375000e-01,6.427307128906250000e-01,3.446000000000000174e+00,3.341326108401703721e+01,-2.377016498940065503e-04,7.305830949917435646e-04,-1.399642496835440397e-04,-2.800000000000000058e-02,-1.000000000000000021e-03,4.100000000000000172e-02
9.871500000000000000e+04,2.449999999999999956e-01,-5.000000000000000104e-03,5.160000000000000142e-01,-1.000000000000000021e-03,2.999999999999999889e-02,1.299999999999999940e-02,6.400000000000000133e-02,-2.369999999999999885e-01,9.932999999999999829e+00,-4.151311826926892823e-03,2.767541217951262171e-03,-0.000000000000000000e+00,9.999875535854046982e-01,8.135252445936203003e-02,9.308532625436782837e-02,8.172465115785598755e-02,7.136102765798568726e-02,7.092437744140625000e-01,7.646331787109375000e-01,7.110900878906250000e-01,6.574096679687500000e-01,3.446000000000000174e+00,3.338670025785642537e+01,-6.945203640498220921e-04,7.187280571088194847e-04,8.215051821025554091e-06,2.699999999999999969e-02,6.000000000000000125e-03,2.199999999999999872e-02
