# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
8.012000000000000000e+03,-6.000000000000000125e-03,2.389999999999999902e-01,8.409999999999999698e-01,1.099999999999999936e-02,8.000000000000000167e-03,-2.000000000000000042e-02,-3.500000000000000333e-02,-1.400000000000000029e-02,9.365000000000000213e+00,-6.918853044878154994e-03,2.767541217951262171e-03,-8.302623653853785646e-03,9.999377663777945235e-01,7.808966934680938721e-02,8.736447989940643311e-02,9.229609370231628418e-02,7.519793510437011719e-02,6.852111816406250000e-01,7.303771972656250000e-01,7.528991699218750000e-01,6.703796386718750000e-01,3.488999999999999879e+00,3.393967156502571214e+01,6.635111640207469463e-05,8.578316192142665386e-04,-4.694014933193102479e-05,-2.999999999999999889e-02,3.300000000000000155e-02,-1.299999999999999940e-02
1.789200000000000000e+04,-6.000000000000000125e-03,2.389999999999999902e-01,8.409999999999999698e-01,1.099999999999999936e-02,8.999999999999999320e-03,-2.299999999999999961e-02,7.000000000000000146e-03,-1.100000000000000006e-01,9.560000000000000497e+00,-8.302623653853785646e-03,2.767541217951262171e-03,-8.302623653853785646e-03,9.999272341508315121e-01,7.323259115219116211e-02,8.684921264648437500e-02,9.511366486549377441e-02,7.739439606666564941e-02,6.610107421875000000e-01,7.289581298828125000e-01,7.663269042968750000e-01,6.826171875000000000e-01,3.483000000000000096e+00,3.390314625186900344e+01,4.041876236442476511e-04,1.019259216263890266e-03,-2.461580515955574811e-05,-4.299999999999999656e-02,1.200000000000000025e-02,1.000000000000000021e-02
2.732300000000000000e+04,-6.000000000000000125e-03,2.389999999999999902e-01,8.409999999999999698e-01,1.099999999999999936e-02,1.000000000000000021e-02,-2.299999999999999961e-02,1.140000000000000041e-01,0.000000000000000000e+00,9.971000000000000085e+00,-8.302623653853785646e-03,2.767541217951262171e-03,-8.302623653853785646e-03,9.999272341508315121e-01,7.782898098230361938e-02,8.622161298990249634e-02,8.501339703798294067e-02,8.450523763895034790e-02,6.848297119140625000e-01,7.259979248046875000e-01,7.202606201171875000e-01,7.178344726562500000e-01,3.483000000000000096e+00,3.400297947493776007e+01,1.778583391569554806e-04,2.895155630540102720e-04,4.730678119813092053e-05,6.000000000000000125e-03,-2.100000000000000130e-02,-2.100000000000000130e-02
3.720700000000000000e+04,-6.000000000000000125e-03,2.389999999999999902e-01,8.409999999999999698e-01,1.099999999999999936e-02,1.099999999999999936e-02,-2.000000000000000042e-02,7.900000000000000078e-02,8.799999999999999489e-02,9.933999999999999275e+00,-8.302623653853785646e-03,2.767541217951262171e-03,-8.302623653853785646e-03,9.999272341508315121e-01,7.970167696475982666e-02,8.622770011425018311e-02,9.276540577411651611e-02,7.395367324352264404e-02,6.942749023437500000e-01,7.260284423828125000e-01,7.560119628906250000e-01,6.647949218750000000e-01,3.483000000000000096e+00,3.390911886815995757e+01,2.568618765508290380e-05,8.241589530371129513e-04,-7.371427636826410890e-05,4.000000000000000083e-03,6.000000000000000125e-03,8.999999999999999320e-03
4.706800000000000000e+04,-6.000000000000000125e-03,2.389999999999999902e-01,8.409999999999999698e-01,1.099999999999999936e-02,1.200000000000000025e-02,-2.100000000000000130e-02,1.419999999999999873e-01,1.170000000000000068e-01,1.005499999999999972e+01,-8.302623653853785646e-03,2.767541217951262171e-03,-8.302623653853785646e-03,9.999272341508315121e-01,7.712280750274658203e-02,8.519940078258514404e-02,8.707480132579803467e-02,8.374419808387756348e-02,6.812286376953125000e-01,7.211456298828125000e-01,7.300262451171875000e-01,7.141723632812500000e-01,3.483000000000000096e+00,3.395934838888963725e+01,2.763743977993726730e-04,3.710410383064299822e-04,2.847599353117402643e-05,-1.600000000000000033e-02,7.099999999999999367e-02,-1.400000000000000029e-02
5.694800000000000000e+04,-6.000000000000000125e-03,2.389999999999999902e-01,8.399999999999999689e-01,1.099999999999999936e-02,1.299999999999999940e-02,-1.899999999999999953e-02,-4.900000000000000189e-02,2.379999999999999893e-01,9.898999999999999133e+00,-8.302623653853785646e-03,4.151311826926892823e-03,-8.302623653853785646e-03,9.999224467382661352e-01,8.484210073947906494e-02,8.401183784008026123e-02,8.639875054359436035e-02,7.760787010192871094e-02,7.194519042968750000e-01,7.154541015625000000e-01,7.268371582031250000e-01,6.837005615234375000e-01,3.483000000000000096e+00,3.393073998216945597e+01,-1.576680806465446949e-04,2.589345676824450493e-04,-5.772686199634335935e-05,-1.700000000000000122e-02,8.000000000000000167e-02,1.299999999999999940e-02
6.681700000000000000e+04,-6.000000000000000125e-03,2.389999999999999902e-01,8.399999999999999689e-01,1.200000000000000025e-02,1.400000000000000029e-02,-1.799999999999999864e-02,7.000000000000000146e-03,-3.599999999999999728e-02,9.614000000000000767e+00,-8.302623653853785646e-03,4.151311826926892823e-03,-8.302623653853785646e-03,9.999224467382661352e-01,7.574392110109329224e-02,9.201102703809738159e-02,8.428617566823959351e-02,8.091924339532852173e-02,6.741333007812500000e-01,7.526397705078125000e-01,7.167816162109375000e-01,7.003479003906250000e-01,3.483000000000000096e+00,3.394091408794686515e+01,-8.292856364278122783e-05,6.386344903148710728e-04,7.740104047115892172e-05,2.299999999999999961e-02,5.299999999999999850e-02,-5.000000000000000104e-03
7.669800000000000000e+04,-6.000000000000000125e-03,2.389999999999999902e-01,8.399999999999999689e-01,1.200000000000000025e-02,1.499999999999999944e-02,-2.299999999999999961e-02,1.000000000000000056e-01,-5.899999999999999689e-02,9.833000000000000185e+00,-8.302623653853785646e-03,4.151311826926892823e-03,-8.302623653853785646e-03,9.999224467382661352e-01,8.104220777750015259e-02,9.043536335229873657e-02,9.069172292947769165e-02,7.043049484491348267e-02,7.009582519531250000e-01,7.455291748046875000e-01,7.467041015625000000e-01,6.460266113281250000e-01,3.483000000000000096e+00,3.390415789033537663e+01,-3.368278266862034798e-04,9.645653190091252327e-04,-6.520849274238571525e-05,5.199999999999999761e-02,4.000000000000000083e-02,1.299999999999999940e-02
8.657000000000000000e+04,-6.000000000000000125e-03,2.389999999999999902e-01,8.389999999999999680e-01,1.200000000000000025e-02,1.600000000000000033e-02,-2.199999999999999872e-02,2.899999999999999800e-01,5.800000000000000294e-02,1.005799999999999983e+01,-6.918853044878154994e-03,4.151311826926892823e-03,-8.302623653853785646e-03,9.999329790156545883e-01,7.879366725683212280e-02,9.043466299772262573e-02,8.254427462816238403e-02,8.195117861032485962e-02,6.897125244140625000e-01,7.455291748046875000e-01,7.083435058593750000e-01,7.054290771484375000e-01,3.483000000000000096e+00,3.401873430102364182e+01,-1.539456716272979975e-04,3.979376051574945450e-04,6.628733535762876272e-05,6.600000000000000311e-02,3.699999999999999817e-02,-4.000000000000000083e-03
9.644600000000000000e+04,-6.000000000000000125e-03,2.389999999999999902e-01,8.389999999999999680e-01,1.200000000000000025e-02,1.600000000000000033e-02,-2.000000000000000042e-02,9.700000000000000289e-02,-1.400000000000000133e-01,9.882999999999999119e+00,-6.918853044878154994e-03,4.151311826926892823e-03,-8.302623653853785646e-03,9.999329790156545883e-01,7.779217511415481567e-02,7.812377065420150757e-02,9.299079328775405884e-02,8.453806489706039429e-02,6.846466064453125000e-01,6.863250732421875000e-01,7.570037841796875000e-01,7.179870605468750000e-01,3.483000000000000096e+00,3.399029601969120762e+01,7.030012784525752068e-04,2.857266226783394814e-04,-4.872671706834807992e-05,5.099999999999999672e-02,2.599999999999999881e-02,1.600000000000000033e-02
1.063200000000000000e+05,-6.000000000000000125e-03,2.389999999999999902e-01,8.389999999999999680e-01,1.299999999999999940e-02,1.700000000000000122e-02,-1.799999999999999864e-02,9.800000000000000377e-02,-6.900000000000000577e-02,9.762999999999999901e+00,-6.918853044878154994e-03,5.535082435902524342e-03,-8.302623653853785646e-03,9.999262766701521032e-01,7.782454043626785278e-02,8.923862129449844360e-02,8.090551942586898804e-02,8.505582064390182495e-02,6.848144531250000000e-01,7.400665283203125000e-01,7.002716064453125000e-01,7.204742431640625000e-01,3.483000000000000096e+00,3.394745176356137506e+01,-3.583871512091718614e-05,2.362679661018773913e-04,9.338631934951990843e-05,4.000000000000000083e-02,2.299999999999999961e-02,1.000000000000000021e-03
1.161940000000000000e+05,-6.000000000000000125e-03,2.389999999999999902e-01,8.389999999999999680e-01,1.299999999999999940e-02,1.700000000000000122e-02,-1.700000000000000122e-02,1.390000000000000124e-01,-6.600000000000000311e-02,9.817000000000000171e+00,-6.918853044878154994e-03,5.535082435902524342e-03,-8.302623653853785646e-03,9.999262766701521032e-01,8.081076294183731079e-02,8.395748585462570190e-02,9.235448390245437622e-02,7.582842558622360229e-02,6.998138427734375000e-01,7.151947021484375000e-01,7.541809082031250000e-01,6.745758056640625000e-01,3.483000000000000096e+00,3.393997536036095397e+01,1.110687226173467934e-04,6.398945115506649017e-04,-8.027596049942076206e-05,4.900000000000000189e-02,5.000000000000000104e-03,2.599999999999999881e-02
