# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.991000000000000000e+03,2.250000000000000056e-01,1.209999999999999964e-01,5.060000000000000053e-01,-1.400000000000000029e-02,-1.600000000000000033e-02,5.000000000000000104e-03,1.089999999999999997e-01,2.000000000000000042e-03,9.821999999999999176e+00,-9.686394262829417165e-03,0.000000000000000000e+00,1.383770608975631086e-03,9.999521283266947780e-01,9.587875753641128540e-02,8.118418604135513306e-02,8.738840371370315552e-02,6.789252907037734985e-02,7.738189697265625000e-01,7.055053710937500000e-01,7.354888916015625000e-01,6.357421875000000000e-01,3.462000000000000188e+00,3.387807098489774660e+01,-7.085013785399496555e-04,1.561711833346635103e-04,-2.051427291007712483e-04,-7.000000000000000146e-03,-4.399999999999999745e-02,-3.500000000000000333e-02
1.975600000000000000e+04,2.240000000000000047e-01,1.209999999999999964e-01,5.060000000000000053e-01,-1.400000000000000029e-02,-1.499999999999999944e-02,8.999999999999999320e-03,8.100000000000000255e-02,-2.770000000000000240e-01,9.762999999999999901e+00,-9.686394262829417165e-03,0.000000000000000000e+00,1.383770608975631086e-03,9.999521283266947780e-01,9.948021918535232544e-02,6.733068078756332397e-02,8.558019250631332397e-02,7.900337129831314087e-02,7.891387939453125000e-01,6.326293945312500000e-01,7.269134521484375000e-01,6.945800781250000000e-01,3.462000000000000188e+00,3.378129090494822862e+01,-7.244792504934594035e-05,-8.318012114614248276e-04,-2.323580847587436438e-04,-1.700000000000000122e-02,-5.000000000000000104e-03,-1.600000000000000033e-02
2.976500000000000000e+04,2.240000000000000047e-01,1.199999999999999956e-01,5.060000000000000053e-01,-1.299999999999999940e-02,-1.299999999999999940e-02,1.000000000000000021e-02,1.869999999999999996e-01,8.000000000000000167e-02,9.705000000000000071e+00,-9.686394262829417165e-03,0.000000000000000000e+00,1.383770608975631086e-03,9.999521283266947780e-01,9.403619170188903809e-02,6.894643604755401611e-02,8.321464061737060547e-02,8.505021035671234131e-02,7.657623291015625000e-01,6.415557861328125000e-01,7.154998779296875000e-01,7.243804931640625000e-01,3.462000000000000188e+00,3.376630771901386652e+01,1.718144194455817342e-04,-8.757975301705300808e-04,-1.395250583300366998e-04,2.699999999999999969e-02,7.000000000000000146e-03,-5.299999999999999850e-02
3.954500000000000000e+04,2.240000000000000047e-01,1.199999999999999956e-01,5.070000000000000062e-01,-1.299999999999999940e-02,-1.299999999999999940e-02,8.999999999999999320e-03,1.809999999999999942e-01,-2.800000000000000266e-01,9.718999999999999417e+00,-8.302623653853785646e-03,0.000000000000000000e+00,1.383770608975631086e-03,9.999645751822232587e-01,1.039771065115928650e-01,7.624233514070510864e-02,7.974194735288619995e-02,7.138855010271072388e-02,8.074951171875000000e-01,6.804504394531250000e-01,6.983032226562500000e-01,6.548309326171875000e-01,3.462000000000000188e+00,3.377675220263964206e+01,-9.461735608056187630e-04,-6.304162670858204365e-04,-2.165290206903591752e-04,5.999999999999999778e-02,0.000000000000000000e+00,-4.599999999999999922e-02
4.955300000000000000e+04,2.240000000000000047e-01,1.199999999999999956e-01,5.070000000000000062e-01,-1.200000000000000025e-02,-1.200000000000000025e-02,7.000000000000000146e-03,1.219999999999999973e-01,-2.670000000000000151e-01,9.680999999999999162e+00,-8.302623653853785646e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.999655326262313348e-01,9.316491335630416870e-02,7.308683544397354126e-02,8.184655755758285522e-02,8.345974236726760864e-02,7.619018554687500000e-01,6.639099121093750000e-01,7.087860107421875000e-01,7.166900634765625000e-01,3.462000000000000188e+00,3.379796623089991670e+01,-3.075293716392479837e-05,-7.055493188090622425e-04,-1.107893185690045357e-04,6.700000000000000400e-02,-1.200000000000000025e-02,-5.899999999999999689e-02
5.932900000000000000e+04,2.240000000000000047e-01,1.189999999999999947e-01,5.070000000000000062e-01,-1.099999999999999936e-02,-1.299999999999999940e-02,6.000000000000000125e-03,3.099999999999999978e-02,-4.000000000000000083e-03,9.715999999999999304e+00,-8.302623653853785646e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.999655326262313348e-01,9.711520373821258545e-02,7.583545148372650146e-02,8.229963481426239014e-02,7.659195363521575928e-02,7.791442871093750000e-01,6.783447265625000000e-01,7.110290527343750000e-01,6.822662353515625000e-01,3.462000000000000188e+00,3.382693615406903120e+01,-4.572982143145054579e-04,-5.065113073214888573e-04,-1.619245740585029125e-04,1.099999999999999936e-02,-1.099999999999999936e-02,-7.399999999999999634e-02
6.933200000000000000e+04,2.240000000000000047e-01,1.189999999999999947e-01,5.070000000000000062e-01,-1.099999999999999936e-02,-1.299999999999999940e-02,4.000000000000000083e-03,4.000000000000000083e-02,-6.400000000000000133e-02,9.836999999999999744e+00,-8.302623653853785646e-03,0.000000000000000000e+00,-0.000000000000000000e+00,9.999655326262313348e-01,8.180567622184753418e-02,7.187530398368835449e-02,9.087723493576049805e-02,8.747503161430358887e-02,7.085876464843750000e-01,6.574401855468750000e-01,7.516021728515625000e-01,7.358856201171875000e-01,3.462000000000000188e+00,3.384640639710499244e+01,8.024809067137539387e-04,-2.123412850778549910e-04,-7.999541412573307753e-05,-5.099999999999999672e-02,-4.299999999999999656e-02,-7.399999999999999634e-02
7.910800000000000000e+04,2.240000000000000047e-01,1.179999999999999938e-01,5.070000000000000062e-01,-1.000000000000000021e-02,-1.099999999999999936e-02,3.000000000000000062e-03,-3.400000000000000244e-02,-2.250000000000000056e-01,9.718999999999999417e+00,-8.302623653853785646e-03,0.000000000000000000e+00,-0.000000000000000000e+00,9.999655326262313348e-01,9.207598865032196045e-02,6.039330363273620605e-02,9.179514646530151367e-02,8.787737786769866943e-02,7.570343017578125000e-01,5.930328369140625000e-01,7.557678222656250000e-01,7.377777099609375000e-01,3.462000000000000188e+00,3.385747366116802937e+01,8.848370634950697422e-04,-9.031074005179107189e-04,-2.136026887455955148e-04,-7.699999999999999900e-02,-3.500000000000000333e-02,-6.500000000000000222e-02
8.899800000000000000e+04,2.240000000000000047e-01,1.179999999999999938e-01,5.070000000000000062e-01,-8.999999999999999320e-03,-1.200000000000000025e-02,2.000000000000000042e-03,1.940000000000000058e-01,-1.370000000000000107e-01,9.717999999999999972e+00,-9.686394262829417165e-03,-0.000000000000000000e+00,-1.383770608975631086e-03,9.999521283266947780e-01,9.927541762590408325e-02,8.446874469518661499e-02,7.684925943613052368e-02,7.179643958806991577e-02,7.872314453125000000e-01,7.205963134765625000e-01,6.826477050781250000e-01,6.561126708984375000e-01,3.467999999999999972e+00,3.388275854692060562e+01,-1.141645014286041260e-03,-3.172629803884774446e-04,-1.191569172078743577e-04,-8.000000000000000167e-02,-6.700000000000000400e-02,-6.700000000000000400e-02
9.888600000000000000e+04,2.240000000000000047e-01,1.179999999999999938e-01,5.070000000000000062e-01,-8.999999999999999320e-03,-1.099999999999999936e-02,1.000000000000000021e-03,1.160000000000000059e-01,-7.900000000000000078e-02,9.808999999999999275e+00,-9.686394262829417165e-03,-0.000000000000000000e+00,-1.383770608975631086e-03,9.999521283266947780e-01,9.547227621078491211e-02,7.346023619174957275e-02,8.619225025177001953e-02,7.737778127193450928e-02,7.720489501953125000e-01,6.658935546875000000e-01,7.298278808593750000e-01,6.863098144531250000e-01,3.462000000000000188e+00,3.389424504854628140e+01,-1.744246255839243531e-04,-4.292759695090353489e-04,-1.849589752964675426e-04,-1.700000000000000122e-02,-8.599999999999999312e-02,-5.000000000000000278e-02
