# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.633000000000000000e+03,4.779999999999999805e-01,-4.660000000000000253e-01,5.999999999999999778e-02,1.000000000000000021e-02,-1.000000000000000021e-03,0.000000000000000000e+00,4.000000000000000083e-02,2.000000000000000042e-03,9.817000000000000171e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.163999999999999702e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.970800000000000000e+04,4.779999999999999805e-01,-4.660000000000000253e-01,5.999999999999999778e-02,1.000000000000000021e-02,-1.000000000000000021e-03,0.000000000000000000e+00,9.299999999999999933e-02,1.000000000000000021e-02,9.820000000000000284e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.163999999999999702e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.939000000000000000e+04,4.779999999999999805e-01,-4.660000000000000253e-01,5.999999999999999778e-02,1.000000000000000021e-02,-1.000000000000000021e-03,0.000000000000000000e+00,7.699999999999999900e-02,-2.199999999999999872e-02,9.792999999999999261e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.163999999999999702e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000104e-03,0.000000000000000000e+00
3.947800000000000000e+04,4.779999999999999805e-01,-4.660000000000000253e-01,5.999999999999999778e-02,1.000000000000000021e-02,-1.000000000000000021e-03,0.000000000000000000e+00,4.700000000000000011e-02,-2.400000000000000050e-02,9.782000000000000028e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.163999999999999702e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000104e-03,2.000000000000000042e-03
4.914300000000000000e+04,4.779999999999999805e-01,-4.660000000000000253e-01,5.999999999999999778e-02,1.000000000000000021e-02,-1.000000000000000021e-03,0.000000000000000000e+00,4.499999999999999833e-02,-4.000000000000000083e-03,9.810999999999999943e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.163999999999999702e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000042e-03,-3.000000000000000062e-03
5.930000000000000000e+04,4.779999999999999805e-01,-4.660000000000000253e-01,5.999999999999999778e-02,1.000000000000000021e-02,-1.000000000000000021e-03,0.000000000000000000e+00,4.499999999999999833e-02,-2.599999999999999881e-02,9.836999999999999744e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,2.289948463439941406e-01,4.930512234568595886e-02,2.135432139039039612e-02,2.015382945537567139e-01,6.857299804687500000e-01,1.808471679687500000e-01,6.301879882812500000e-02,6.368713378906250000e-01,4.163999999999999702e+00,5.108996633360509776e+01,-2.350734546780586243e-03,-1.526814512908458710e-02,2.965545718325302005e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.897400000000000000e+04,4.779999999999999805e-01,-4.660000000000000253e-01,5.999999999999999778e-02,8.999999999999999320e-03,-1.000000000000000021e-03,0.000000000000000000e+00,4.299999999999999656e-02,-2.199999999999999872e-02,9.830000000000000071e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.350791007280349731e-01,1.338154822587966919e-01,1.356016546487808228e-01,1.331368833780288696e-01,4.763793945312500000e-01,4.727478027343750000e-01,4.778747558593750000e-01,4.707946777343750000e-01,4.163999999999999702e+00,5.480459949170656131e+01,-6.621138254558900371e-06,5.096098175272345543e-05,-2.237046464870218188e-05,4.000000000000000083e-03,8.999999999999999320e-03,5.000000000000000104e-03
7.904200000000000000e+04,4.779999999999999805e-01,-4.660000000000000253e-01,5.999999999999999778e-02,8.999999999999999320e-03,-1.000000000000000021e-03,0.000000000000000000e+00,8.200000000000000344e-02,-4.499999999999999833e-02,9.861000000000000654e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,1.381966471672058105e-01,1.325015723705291748e-01,1.325528919696807861e-01,1.350877881050109863e-01,4.965515136718750000e-01,4.801330566406250000e-01,4.802856445312500000e-01,4.876403808593750000e-01,4.105999999999999872e+00,5.487654430299966890e+01,-1.297216076636686921e-04,-3.491670941002666950e-04,-1.896109461085870862e-05,-3.000000000000000062e-03,-7.000000000000000146e-03,4.000000000000000083e-03
8.871100000000000000e+04,4.779999999999999805e-01,-4.660000000000000253e-01,6.099999999999999867e-02,8.000000000000000167e-03,-1.000000000000000021e-03,0.000000000000000000e+00,-8.200000000000000344e-02,1.000000000000000021e-02,9.859999999999999432e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00,1.361227035522460938e-01,1.376151442527770996e-01,1.256646215915679932e-01,1.399475634098052979e-01,5.182495117187500000e-01,5.225982666015625000e-01,4.869079589843750000e-01,5.293426513671875000e-01,3.963999999999999968e+00,5.497961598434214636e+01,-3.447438357397913933e-04,-5.426552961580455303e-04,9.465219045523554087e-05,8.999999999999999320e-03,-2.000000000000000042e-03,-2.199999999999999872e-02
9.879100000000000000e+04,4.779999999999999805e-01,-4.660000000000000253e-01,6.099999999999999867e-02,8.000000000000000167e-03,-1.000000000000000021e-03,0.000000000000000000e+00,2.139999999999999958e-01,-1.170000000000000068e-01,9.753000000000000114e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.518656313419342041e-01,1.300809979438781738e-01,1.348781883716583252e-01,1.242796182632446289e-01,5.689697265625000000e-01,5.063934326171875000e-01,5.207214355468750000e-01,4.886474609375000000e-01,3.931999999999999940e+00,5.515845422229513417e+01,-9.668483980931341648e-04,-4.745839687529951334e-04,-1.942993112606927752e-04,-7.000000000000000146e-03,-5.000000000000000104e-03,4.599999999999999922e-02
