# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.866000000000000000e+03,2.000000000000000042e-02,1.200000000000000025e-02,5.299999999999999850e-02,7.000000000000000146e-03,-3.000000000000000062e-03,0.000000000000000000e+00,3.400000000000000244e-02,-2.100000000000000130e-02,9.807999999999999829e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.163999999999999702e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000042e-03,-1.000000000000000021e-03,0.000000000000000000e+00
1.975700000000000000e+04,2.000000000000000042e-02,1.200000000000000025e-02,5.299999999999999850e-02,7.000000000000000146e-03,-3.000000000000000062e-03,0.000000000000000000e+00,5.099999999999999672e-02,-3.500000000000000333e-02,9.816000000000000725e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.163999999999999702e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03,2.000000000000000042e-03,-1.000000000000000021e-03
2.964800000000000000e+04,2.000000000000000042e-02,1.200000000000000025e-02,5.299999999999999850e-02,7.000000000000000146e-03,-3.000000000000000062e-03,0.000000000000000000e+00,4.100000000000000172e-02,-3.200000000000000067e-02,9.827999999999999403e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.158999999999999808e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03
3.953500000000000000e+04,2.000000000000000042e-02,1.200000000000000025e-02,5.299999999999999850e-02,7.000000000000000146e-03,-3.000000000000000062e-03,0.000000000000000000e+00,2.500000000000000139e-02,-1.499999999999999944e-02,9.798999999999999488e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.158999999999999808e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.942400000000000000e+04,2.000000000000000042e-02,1.200000000000000025e-02,5.299999999999999850e-02,7.000000000000000146e-03,-3.000000000000000062e-03,0.000000000000000000e+00,4.299999999999999656e-02,-1.499999999999999944e-02,9.817999999999999616e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.158999999999999808e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000062e-03,4.000000000000000083e-03,3.000000000000000062e-03
5.931400000000000000e+04,2.000000000000000042e-02,1.200000000000000025e-02,5.299999999999999850e-02,7.000000000000000146e-03,-3.000000000000000062e-03,0.000000000000000000e+00,3.799999999999999906e-02,-1.799999999999999864e-02,9.820999999999999730e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.158999999999999808e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000104e-03,-2.000000000000000042e-03,-1.000000000000000021e-03
6.925000000000000000e+04,2.000000000000000042e-02,1.200000000000000025e-02,5.299999999999999850e-02,7.000000000000000146e-03,-3.000000000000000062e-03,0.000000000000000000e+00,4.200000000000000261e-02,-2.199999999999999872e-02,9.804000000000000270e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.180094256997108459e-01,6.151526421308517456e-02,3.715170174837112427e-02,9.021394699811935425e-02,7.052307128906250000e-01,4.865722656250000000e-01,3.500061035156250000e-01,6.147766113281250000e-01,4.158999999999999808e+00,3.128341882357660353e+01,-1.696572988294064999e-03,-3.563531208783388138e-03,-2.059151120192836970e-05,-1.000000000000000021e-03,0.000000000000000000e+00,1.000000000000000021e-03
7.913700000000000000e+04,2.000000000000000042e-02,1.200000000000000025e-02,5.299999999999999850e-02,7.000000000000000146e-03,-3.000000000000000062e-03,0.000000000000000000e+00,2.800000000000000058e-02,-2.100000000000000130e-02,9.803000000000000824e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.408031821250915527e-02,8.357514441013336182e-02,8.346842229366302490e-02,8.098420500755310059e-02,5.470581054687500000e-01,5.882568359375000000e-01,5.878143310546875000e-01,5.774078369140625000e-01,4.158999999999999808e+00,3.283466767827305688e+01,2.210909588029608130e-04,3.896416747011244297e-04,4.206364974379539490e-05,2.000000000000000042e-03,-5.000000000000000104e-03,-3.000000000000000062e-03
8.902900000000000000e+04,2.000000000000000042e-02,1.200000000000000025e-02,5.299999999999999850e-02,7.000000000000000146e-03,-3.000000000000000062e-03,0.000000000000000000e+00,-1.400000000000000029e-02,4.900000000000000189e-02,9.862000000000000099e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.906194776296615601e-02,8.363797515630722046e-02,7.626367360353469849e-02,8.372155576944351196e-02,5.843963623046875000e-01,6.041564941406250000e-01,5.718688964843750000e-01,6.045227050781250000e-01,4.075000000000000178e+00,3.289349156903685412e+01,-8.830025035422295332e-05,-9.373820648761466146e-05,7.220348925329744816e-05,-2.000000000000000042e-03,8.999999999999999320e-03,-1.000000000000000021e-02
9.891900000000000000e+04,2.000000000000000042e-02,1.200000000000000025e-02,5.299999999999999850e-02,6.000000000000000125e-03,-2.000000000000000042e-03,0.000000000000000000e+00,7.199999999999999456e-02,-1.120000000000000023e-01,9.775999999999999801e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.141620993614196777e-02,6.592364609241485596e-02,9.063629806041717529e-02,7.545068860054016113e-02,6.816101074218750000e-01,5.622711181640625000e-01,6.783752441406250000e-01,6.101379394531250000e-01,3.837000000000000188e+00,3.296909711411969113e+01,2.845172712113708258e-04,-3.352537169121205807e-04,-2.440690295770764351e-04,0.000000000000000000e+00,3.000000000000000062e-03,4.100000000000000172e-02
