# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.686000000000000000e+03,4.699999999999999734e-01,-4.660000000000000253e-01,9.360000000000000542e-01,-8.999999999999999320e-03,-1.000000000000000021e-02,1.000000000000000021e-03,2.869999999999999774e-01,-2.230000000000000038e-01,9.372999999999999332e+00,4.151311826926892823e-03,-2.767541217951262171e-03,-9.686394262829417165e-03,9.999406387840767962e-01,1.255067139863967896e-01,1.673107296228408813e-01,1.274816542863845825e-01,1.772340685129165649e-01,5.475769042968750000e-01,6.691131591796875000e-01,5.538482666015625000e-01,6.944885253906250000e-01,3.641999999999999904e+00,6.091061839026899349e+01,5.048014572821557522e-04,-3.372224455233663321e-04,5.493386997841298580e-04,-3.400000000000000244e-02,2.699999999999999969e-02,-1.400000000000000029e-02
1.956500000000000000e+04,4.699999999999999734e-01,-4.660000000000000253e-01,9.360000000000000542e-01,-8.999999999999999320e-03,-1.000000000000000021e-02,-2.000000000000000042e-03,1.140000000000000041e-01,-1.799999999999999864e-02,9.582000000000000739e+00,4.151311826926892823e-03,-2.767541217951262171e-03,-9.686394262829417165e-03,9.999406387840767962e-01,1.229984015226364136e-01,1.669318228960037231e-01,1.347372382879257202e-01,1.743403822183609009e-01,5.395355224609375000e-01,6.681213378906250000e-01,5.764465332031250000e-01,6.872253417968750000e-01,3.641999999999999904e+00,6.106094239805573665e+01,8.123557781800627708e-04,1.837191521190106869e-04,5.012194160372018814e-04,-3.000000000000000062e-03,2.000000000000000042e-03,-1.000000000000000021e-03
2.944400000000000000e+04,4.699999999999999734e-01,-4.660000000000000253e-01,9.350000000000000533e-01,-8.999999999999999320e-03,-1.000000000000000021e-02,-4.000000000000000083e-03,1.449999999999999900e-01,-2.210000000000000020e-01,9.464000000000000412e+00,2.767541217951262171e-03,-2.767541217951262171e-03,-9.686394262829417165e-03,9.999454261095447327e-01,1.076021641492843628e-01,1.715795844793319702e-01,1.771891564130783081e-01,1.437662094831466675e-01,4.892578125000000000e-01,6.812896728515625000e-01,6.954803466796875000e-01,6.046142578125000000e-01,3.636000000000000121e+00,6.117605652648738612e+01,1.772304764017462730e-03,4.132348578423261642e-03,1.833267160691320896e-04,-5.500000000000000028e-02,2.100000000000000130e-02,7.399999999999999634e-02
3.933100000000000000e+04,4.699999999999999734e-01,-4.660000000000000253e-01,9.350000000000000533e-01,-8.999999999999999320e-03,-1.000000000000000021e-02,-8.000000000000000167e-03,1.610000000000000042e-01,-9.800000000000000377e-02,9.425000000000000711e+00,2.767541217951262171e-03,-2.767541217951262171e-03,-9.686394262829417165e-03,9.999454261095447327e-01,1.486247479915618896e-01,1.740494072437286377e-01,1.004558503627777100e-01,1.782232224941253662e-01,6.187591552734375000e-01,6.875915527343750000e-01,4.643707275390625000e-01,6.980590820312500000e-01,3.636000000000000121e+00,6.130002325098813287e+01,-1.866552280262112617e-03,-2.220713999122381210e-03,6.191522115841507912e-04,1.799999999999999864e-02,-1.400000000000000029e-02,-3.099999999999999978e-02
4.920800000000000000e+04,4.699999999999999734e-01,-4.660000000000000253e-01,9.350000000000000533e-01,-8.999999999999999320e-03,-1.000000000000000021e-02,-1.600000000000000033e-02,1.160000000000000059e-01,8.000000000000000167e-02,9.372999999999999332e+00,2.767541217951262171e-03,-2.767541217951262171e-03,-9.686394262829417165e-03,9.999454261095447327e-01,1.385445147752761841e-01,1.515521854162216187e-01,1.322539597749710083e-01,1.823369711637496948e-01,5.890502929687500000e-01,6.271362304687500000e-01,5.698089599609375000e-01,7.081451416015625000e-01,3.636000000000000121e+00,6.163992162387548035e+01,1.039202907122671604e-03,-1.572974259033799171e-03,3.785440931096673012e-04,-2.699999999999999969e-02,4.100000000000000172e-02,2.800000000000000058e-02
5.909000000000000000e+04,4.699999999999999734e-01,-4.660000000000000253e-01,9.350000000000000533e-01,-8.999999999999999320e-03,-1.000000000000000021e-02,-2.199999999999999872e-02,1.890000000000000013e-01,-4.299999999999999656e-02,9.400999999999999801e+00,2.767541217951262171e-03,-2.767541217951262171e-03,-9.686394262829417165e-03,9.999454261095447327e-01,1.345819532871246338e-01,1.737753152847290039e-01,1.258693635463714600e-01,1.726769208908081055e-01,5.769958496093750000e-01,6.869049072265625000e-01,5.497436523437500000e-01,6.840972900390625000e-01,3.636000000000000121e+00,6.186580560744476998e+01,-4.162443219684064388e-04,-3.230420988984405994e-04,5.160053842701017857e-04,8.000000000000000167e-03,-3.000000000000000062e-03,-6.000000000000000125e-03
6.896700000000000000e+04,4.699999999999999734e-01,-4.660000000000000253e-01,9.340000000000000524e-01,-8.999999999999999320e-03,-1.000000000000000021e-02,-2.500000000000000139e-02,2.720000000000000195e-01,-1.809999999999999942e-01,9.288000000000000256e+00,2.767541217951262171e-03,-2.767541217951262171e-03,-9.686394262829417165e-03,9.999454261095447327e-01,1.150320023298263550e-01,1.755971461534500122e-01,1.442004293203353882e-01,1.734239012002944946e-01,5.144042968750000000e-01,6.914978027343750000e-01,6.058959960937500000e-01,6.860046386718750000e-01,3.636000000000000121e+00,6.200341274249808521e+01,1.145308022387325764e-03,1.329714898020029068e-03,5.387316341511905193e-04,-4.299999999999999656e-02,-1.499999999999999944e-02,-8.999999999999999320e-03
7.884700000000000000e+04,4.699999999999999734e-01,-4.660000000000000253e-01,9.340000000000000524e-01,-8.999999999999999320e-03,-1.000000000000000021e-02,-2.999999999999999889e-02,2.139999999999999958e-01,-7.099999999999999367e-02,9.311999999999999389e+00,2.767541217951262171e-03,-2.767541217951262171e-03,-8.302623653853785646e-03,9.999578730484981470e-01,1.366204023361206055e-01,1.816549599170684814e-01,1.390100121498107910e-01,1.526338160037994385e-01,5.832214355468750000e-01,7.064819335937500000e-01,5.904541015625000000e-01,6.302032470703125000e-01,3.636000000000000121e+00,6.217321003127413803e+01,-1.129879965446889400e-03,1.332646235823631287e-03,3.519502351991832256e-04,1.600000000000000033e-02,-1.700000000000000122e-02,3.400000000000000244e-02
8.872500000000000000e+04,4.699999999999999734e-01,-4.660000000000000253e-01,9.340000000000000524e-01,-8.999999999999999320e-03,-1.000000000000000021e-02,-3.400000000000000244e-02,1.600000000000000033e-02,2.800000000000000266e-01,9.727999999999999758e+00,2.767541217951262171e-03,-2.767541217951262171e-03,-8.302623653853785646e-03,9.999578730484981470e-01,1.268346607685089111e-01,1.597630977630615234e-01,1.369618177413940430e-01,1.883359849452972412e-01,5.538177490234375000e-01,6.510620117187500000e-01,5.852813720703125000e-01,7.235565185546875000e-01,3.630999999999999783e+00,6.237467494579630056e+01,1.641904702410101891e-03,-7.825855282135307789e-04,5.058154929429292679e-04,-5.700000000000000205e-02,7.000000000000000146e-03,-1.000000000000000021e-03
9.860500000000000000e+04,4.699999999999999734e-01,-4.660000000000000253e-01,9.330000000000000515e-01,-8.999999999999999320e-03,-1.000000000000000021e-02,-3.599999999999999728e-02,1.660000000000000087e-01,9.299999999999999933e-02,9.438000000000000611e+00,2.767541217951262171e-03,-2.767541217951262171e-03,-8.302623653853785646e-03,9.999578730484981470e-01,1.464149057865142822e-01,1.867639720439910889e-01,1.275107264518737793e-01,1.520869731903076172e-01,6.134185791015625000e-01,7.198486328125000000e-01,5.559539794921875000e-01,6.297149658203125000e-01,3.630999999999999783e+00,6.246448292280191339e+01,-2.273256191983819008e-03,6.691827438771724701e-04,3.895520349033176899e-04,2.500000000000000139e-02,3.599999999999999728e-02,2.500000000000000139e-02
