# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.837000000000000000e+03,2.310000000000000109e-01,-5.700000000000000205e-02,7.179999999999999716e-01,1.700000000000000122e-02,5.000000000000000104e-03,5.000000000000000104e-03,2.389999999999999902e-01,7.699999999999999900e-02,9.951999999999999957e+00,-1.383770608975631086e-03,1.383770608975631086e-03,-2.767541217951262171e-03,9.999942555202055994e-01,1.036181971430778503e-01,2.239713668823242188e-01,1.017115935683250427e-01,2.105651199817657471e-01,5.023193359375000000e-01,8.307952880859375000e-01,4.955444335937500000e-01,8.039245605468750000e-01,3.488999999999999879e+00,6.522592176112681273e+01,-6.496693822555243969e-04,4.878897743765264750e-04,1.375240273773670197e-03,2.000000000000000042e-03,2.699999999999999969e-02,1.200000000000000025e-02
1.970100000000000000e+04,2.310000000000000109e-01,-5.700000000000000205e-02,7.179999999999999716e-01,1.899999999999999953e-02,5.000000000000000104e-03,6.000000000000000125e-03,3.130000000000000004e-01,-1.459999999999999909e-01,9.872999999999999332e+00,-1.383770608975631086e-03,2.767541217951262171e-03,-2.767541217951262171e-03,9.999913832679337977e-01,1.308867335319519043e-01,2.181608378887176514e-01,7.932952791452407837e-02,2.111455798149108887e-01,5.939331054687500000e-01,8.194427490234375000e-01,4.122467041015625000e-01,8.051300048828125000e-01,3.488999999999999879e+00,6.519089415897288120e+01,-2.485018456354737282e-03,-1.889755949378013611e-03,1.314540859311819077e-03,3.500000000000000333e-02,5.199999999999999761e-02,2.400000000000000050e-02
2.957900000000000000e+04,2.320000000000000118e-01,-5.700000000000000205e-02,7.179999999999999716e-01,2.000000000000000042e-02,5.000000000000000104e-03,6.000000000000000125e-03,2.580000000000000071e-01,-1.179999999999999938e-01,9.913000000000000256e+00,-1.383770608975631086e-03,2.767541217951262171e-03,-2.767541217951262171e-03,9.999913832679337977e-01,1.271391957998275757e-01,1.879917830228805542e-01,8.765049278736114502e-02,2.366507798433303833e-01,5.819396972656250000e-01,7.531585693359375000e-01,4.440155029296875000e-01,8.539886474609375000e-01,3.488999999999999879e+00,6.518167700850148094e+01,3.890620137099176645e-04,-3.739790059626102448e-03,1.259117154404520988e-03,-6.199999999999999956e-02,6.300000000000000044e-02,3.500000000000000333e-02
3.944200000000000000e+04,2.320000000000000118e-01,-5.700000000000000205e-02,7.179999999999999716e-01,2.000000000000000042e-02,5.000000000000000104e-03,7.000000000000000146e-03,3.009999999999999898e-01,7.599999999999999811e-02,1.002800000000000047e+01,-1.383770608975631086e-03,2.767541217951262171e-03,-2.767541217951262171e-03,9.999913832679337977e-01,1.059263646602630615e-01,2.089616358280181885e-01,1.036976575851440430e-01,2.204858064651489258e-01,5.104675292968750000e-01,8.005371093750000000e-01,5.026092529296875000e-01,8.240509033203125000e-01,3.488999999999999879e+00,6.514489954521653203e+01,3.943739866372197866e-04,-5.834851763211190701e-04,1.318940659984946251e-03,5.899999999999999689e-02,3.799999999999999906e-02,1.799999999999999864e-02
4.930900000000000000e+04,2.320000000000000118e-01,-5.700000000000000205e-02,7.179999999999999716e-01,2.000000000000000042e-02,5.000000000000000104e-03,8.000000000000000167e-03,3.619999999999999885e-01,-1.549999999999999989e-01,9.973000000000000753e+00,-1.383770608975631086e-03,2.767541217951262171e-03,-1.383770608975631086e-03,9.999942555202055994e-01,1.244293004274368286e-01,2.436466366052627563e-01,8.937372267246246338e-02,1.812160760164260864e-01,5.731506347656250000e-01,8.658447265625000000e-01,4.504699707031250000e-01,7.365722656250000000e-01,3.488999999999999879e+00,6.510354084827606869e+01,-4.135986790060997009e-03,1.161423046141862869e-03,1.266358187422156334e-03,-8.999999999999999320e-03,-7.000000000000000146e-03,2.900000000000000147e-02
5.917900000000000000e+04,2.320000000000000118e-01,-5.700000000000000205e-02,7.179999999999999716e-01,1.899999999999999953e-02,5.000000000000000104e-03,8.999999999999999320e-03,3.449999999999999734e-01,-4.000000000000000083e-02,9.938000000000000611e+00,-1.383770608975631086e-03,2.767541217951262171e-03,-1.383770608975631086e-03,9.999942555202055994e-01,1.119204759597778320e-01,2.134610116481781006e-01,9.587025642395019531e-02,2.171137034893035889e-01,5.312805175781250000e-01,8.099365234375000000e-01,4.744567871093750000e-01,8.173522949218750000e-01,3.488999999999999879e+00,6.507293043029660851e+01,-5.259827594272792339e-04,-8.359247585758566856e-04,1.336703891865909100e-03,3.400000000000000244e-02,-1.899999999999999953e-02,1.099999999999999936e-02
6.904900000000000000e+04,2.320000000000000118e-01,-5.700000000000000205e-02,7.179999999999999716e-01,1.899999999999999953e-02,5.000000000000000104e-03,1.000000000000000021e-02,3.039999999999999925e-01,3.000000000000000062e-03,9.920999999999999375e+00,-1.383770608975631086e-03,2.767541217951262171e-03,-1.383770608975631086e-03,9.999942555202055994e-01,9.788493067026138306e-02,2.296085059642791748e-01,1.189067736268043518e-01,1.917225420475006104e-01,4.817810058593750000e-01,8.413848876953125000e-01,5.549316406250000000e-01,7.620239257812500000e-01,3.488999999999999879e+00,6.504818933819412052e+01,-7.154836202971637249e-04,2.499245572835206985e-03,1.227236003614962101e-03,-5.099999999999999672e-02,-7.599999999999999811e-02,3.500000000000000333e-02
7.892600000000000000e+04,2.320000000000000118e-01,-5.700000000000000205e-02,7.179999999999999716e-01,1.799999999999999864e-02,5.000000000000000104e-03,1.099999999999999936e-02,3.420000000000000262e-01,1.199999999999999956e-01,1.000300000000000011e+01,-1.383770608975631086e-03,1.383770608975631086e-03,-1.383770608975631086e-03,9.999971277642276668e-01,7.084386050701141357e-02,1.990803182125091553e-01,1.443824768066406250e-01,2.024482488632202148e-01,3.789062500000000000e-01,7.789459228515625000e-01,6.355438232421875000e-01,7.864532470703125000e-01,3.488999999999999879e+00,6.287001931582264547e+01,3.262869315221905708e-03,2.977089490741491318e-03,1.117813400924205780e-03,-1.000000000000000021e-03,-4.100000000000000172e-02,6.099999999999999867e-02
8.879200000000000000e+04,2.320000000000000118e-01,-5.700000000000000205e-02,7.179999999999999716e-01,2.100000000000000130e-02,5.000000000000000104e-03,1.200000000000000025e-02,2.899999999999999800e-01,6.800000000000000488e-02,1.002100000000000080e+01,-1.383770608975631086e-03,1.383770608975631086e-03,-1.383770608975631086e-03,9.999971277642276668e-01,1.296630352735519409e-01,1.843686550855636597e-01,7.978160679340362549e-02,2.276399284601211548e-01,5.900421142578125000e-01,7.443695068359375000e-01,4.140014648437500000e-01,8.377380371093750000e-01,3.488999999999999879e+00,6.334895266183897178e+01,-2.804460236802697182e-04,-3.952135331928730011e-03,1.215383526869118214e-03,-3.200000000000000067e-02,-2.599999999999999881e-02,3.500000000000000333e-02
9.867200000000000000e+04,2.330000000000000127e-01,-5.700000000000000205e-02,7.179999999999999716e-01,2.100000000000000130e-02,5.000000000000000104e-03,1.200000000000000025e-02,3.760000000000000009e-01,4.299999999999999656e-02,9.875999999999999446e+00,-1.383770608975631086e-03,1.383770608975631086e-03,-1.383770608975631086e-03,9.999971277642276668e-01,6.865004450082778931e-02,1.872532814741134644e-01,1.485898345708847046e-01,2.172885984182357788e-01,3.701171875000000000e-01,7.513732910156250000e-01,6.480102539062500000e-01,8.177032470703125000e-01,3.488999999999999879e+00,6.338244305959656089e+01,4.665848333388566971e-03,2.117267809808254242e-03,1.123811933211982250e-03,-1.000000000000000021e-02,-2.900000000000000147e-02,5.600000000000000117e-02
1.085340000000000000e+05,2.330000000000000127e-01,-5.700000000000000205e-02,7.179999999999999716e-01,2.100000000000000130e-02,5.000000000000000104e-03,1.600000000000000033e-02,2.119999999999999940e-01,-1.000000000000000021e-02,9.827999999999999403e+00,-1.383770608975631086e-03,1.383770608975631086e-03,-1.383770608975631086e-03,9.999971277642276668e-01,1.144798249006271362e-01,2.317149788141250610e-01,1.039721518754959106e-01,1.703683137893676758e-01,5.400238037109375000e-01,8.452148437500000000e-01,5.035858154296875000e-01,7.087249755859375000e-01,3.488999999999999879e+00,6.325537762267629915e+01,-3.048522397875785828e-03,2.156915143132209778e-03,1.101787900552153587e-03,8.000000000000000167e-03,-2.000000000000000042e-02,5.999999999999999778e-02
1.184050000000000000e+05,2.330000000000000127e-01,-5.700000000000000205e-02,7.189999999999999725e-01,2.100000000000000130e-02,5.000000000000000104e-03,1.700000000000000122e-02,2.220000000000000029e-01,-1.029999999999999943e-01,9.727999999999999758e+00,-1.383770608975631086e-03,1.383770608975631086e-03,-1.383770608975631086e-03,9.999971277642276668e-01,7.417277246713638306e-02,2.098880112171173096e-01,1.299712061882019043e-01,2.053835988044738770e-01,3.912048339843750000e-01,8.013305664062500000e-01,5.900115966796875000e-01,7.917175292968750000e-01,3.494000000000000217e+00,6.314124171522414741e+01,2.176221925765275955e-03,2.558432286605238914e-03,1.266765641048550606e-03,-8.000000000000000167e-03,-5.000000000000000278e-02,1.799999999999999864e-02
1.282730000000000000e+05,2.330000000000000127e-01,-5.700000000000000205e-02,7.189999999999999725e-01,2.000000000000000042e-02,5.000000000000000104e-03,1.499999999999999944e-02,2.610000000000000098e-01,-8.200000000000000344e-02,9.663000000000000256e+00,-1.383770608975631086e-03,1.383770608975631086e-03,-0.000000000000000000e+00,9.999980851770684520e-01,1.174735203385353088e-01,2.676269710063934326e-01,8.289674669504165649e-02,1.517023742198944092e-01,5.491485595703125000e-01,9.001922607421875000e-01,4.250640869140625000e-01,6.560211181640625000e-01,3.494000000000000217e+00,6.317019341067314997e+01,-6.385230924934148788e-03,3.451294731348752975e-03,1.313754357397556305e-03,8.100000000000000255e-02,-5.000000000000000278e-02,6.000000000000000125e-03
1.381440000000000000e+05,2.330000000000000127e-01,-5.700000000000000205e-02,7.189999999999999725e-01,1.899999999999999953e-02,5.000000000000000104e-03,1.400000000000000029e-02,2.359999999999999876e-01,-1.260000000000000009e-01,9.683999999999999275e+00,-1.383770608975631086e-03,1.383770608975631086e-03,-0.000000000000000000e+00,9.999980851770684520e-01,5.827071890234947205e-02,1.855387836694717407e-01,1.411101818084716797e-01,2.360560894012451172e-01,3.268280029296875000e-01,7.460937500000000000e-01,6.246490478515625000e-01,8.517303466796875000e-01,3.494000000000000217e+00,6.330028464913247177e+01,5.657848436385393143e-03,1.371312537230551243e-03,1.333283958956599236e-03,-5.099999999999999672e-02,-6.500000000000000222e-02,0.000000000000000000e+00
1.480130000000000000e+05,2.330000000000000127e-01,-5.700000000000000205e-02,7.189999999999999725e-01,1.799999999999999864e-02,5.000000000000000104e-03,1.099999999999999936e-02,1.710000000000000131e-01,-3.099999999999999978e-02,9.698999999999999844e+00,-1.383770608975631086e-03,0.000000000000000000e+00,-0.000000000000000000e+00,9.999990425889925261e-01,1.107848659157752991e-01,2.250108718872070312e-01,8.886683732271194458e-02,1.970518529415130615e-01,5.263977050781250000e-01,8.315887451171875000e-01,4.476470947265625000e-01,7.732086181640625000e-01,3.494000000000000217e+00,6.337557728501999321e+01,-2.116104122251272202e-03,2.562984009273350239e-04,1.334466040134429932e-03,7.900000000000000078e-02,-4.000000000000000083e-02,0.000000000000000000e+00
1.578840000000000000e+05,2.330000000000000127e-01,-5.700000000000000205e-02,7.189999999999999725e-01,1.700000000000000122e-02,5.000000000000000104e-03,1.000000000000000021e-02,1.219999999999999973e-01,1.039999999999999952e-01,9.805999999999999162e+00,-1.383770608975631086e-03,0.000000000000000000e+00,-0.000000000000000000e+00,9.999990425889925261e-01,8.157446980476379395e-02,2.300999760627746582e-01,1.201170086860656738e-01,1.904934942722320557e-01,4.199981689453125000e-01,8.410644531250000000e-01,5.579681396484375000e-01,7.579956054687500000e-01,3.494000000000000217e+00,6.343373586399961539e+01,-4.513936437433585525e-05,3.315581008791923523e-03,1.313411863520741463e-03,-2.999999999999999889e-02,-5.000000000000000278e-02,4.000000000000000083e-03
1.677540000000000000e+05,2.330000000000000127e-01,-5.700000000000000205e-02,7.189999999999999725e-01,1.700000000000000122e-02,4.000000000000000083e-03,8.000000000000000167e-03,1.739999999999999880e-01,6.800000000000000488e-02,9.679000000000000270e+00,-1.383770608975631086e-03,0.000000000000000000e+00,-0.000000000000000000e+00,9.999990425889925261e-01,6.104571372270584106e-02,2.087449431419372559e-01,1.490234732627868652e-01,2.038436532020568848e-01,3.383026123046875000e-01,7.989196777343750000e-01,6.482391357421875000e-01,7.883605957031250000e-01,3.494000000000000217e+00,6.347174066043896801e+01,3.524637082591652870e-03,3.940523602068424225e-03,1.215116353705525398e-03,-1.000000000000000021e-03,-1.600000000000000033e-02,2.599999999999999881e-02
1.776230000000000000e+05,2.330000000000000127e-01,-5.700000000000000205e-02,7.189999999999999725e-01,1.899999999999999953e-02,4.000000000000000083e-03,6.000000000000000125e-03,2.030000000000000138e-01,-2.999999999999999889e-01,9.696999999999999176e+00,-1.383770608975631086e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.999990425889925261e-01,1.526396572589874268e-01,1.782619357109069824e-01,6.439361721277236938e-02,2.273738980293273926e-01,6.587371826171875000e-01,7.280426025390625000e-01,3.520202636718750000e-01,8.360290527343750000e-01,3.494000000000000217e+00,6.347289508271289549e+01,-1.660319161601364613e-03,-5.827605258673429489e-03,1.131615252234041691e-03,-4.800000000000000100e-02,1.200000000000000025e-02,4.399999999999999745e-02
