# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.742000000000000000e+03,2.280000000000000082e-01,-1.100000000000000006e-01,7.870000000000000329e-01,5.000000000000000104e-03,8.999999999999999320e-03,0.000000000000000000e+00,2.599999999999999881e-02,-1.690000000000000113e-01,9.875000000000000000e+00,-2.767541217951262171e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999942555202055994e-01,7.503393292427062988e-02,8.129952847957611084e-02,9.068755805492401123e-02,7.241907715797424316e-02,6.490478515625000000e-01,6.800384521484375000e-01,7.233123779296875000e-01,6.356201171875000000e-01,3.604999999999999982e+00,3.256270098030019966e+01,2.203103504143655300e-04,7.980177178978919983e-04,-7.201731204986572266e-05,1.400000000000000029e-02,-4.900000000000000189e-02,1.099999999999999936e-02
1.963500000000000000e+04,2.280000000000000082e-01,-1.100000000000000006e-01,7.870000000000000329e-01,4.000000000000000083e-03,8.999999999999999320e-03,0.000000000000000000e+00,6.199999999999999956e-02,3.899999999999999994e-02,9.773999999999999133e+00,-2.767541217951262171e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999942555202055994e-01,8.228355646133422852e-02,7.057125866413116455e-02,8.729702234268188477e-02,7.918672263622283936e-02,6.847534179687500000e-01,6.259613037109375000e-01,7.081146240234375000e-01,6.697692871093750000e-01,3.604999999999999982e+00,3.255235067322834652e+01,4.433065769262611866e-04,-1.171623371192254126e-04,-1.189355025417171419e-04,-5.000000000000000104e-03,-3.200000000000000067e-02,3.000000000000000062e-03
2.952600000000000000e+04,2.280000000000000082e-01,-1.100000000000000006e-01,7.880000000000000338e-01,4.000000000000000083e-03,8.999999999999999320e-03,1.000000000000000021e-03,3.799999999999999906e-02,3.200000000000000067e-02,9.951000000000000512e+00,-2.767541217951262171e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999942555202055994e-01,7.585747539997100830e-02,7.849489152431488037e-02,8.731861412525177002e-02,7.756902277469635010e-02,6.532287597656250000e-01,6.663818359375000000e-01,7.082061767578125000e-01,6.617889404296875000e-01,3.604999999999999982e+00,3.254230416149174232e+01,3.426797920837998390e-04,4.029114497825503349e-04,-4.267301483196206391e-05,-1.000000000000000021e-03,0.000000000000000000e+00,5.000000000000000104e-03
3.942000000000000000e+04,2.280000000000000082e-01,-1.100000000000000006e-01,7.880000000000000338e-01,3.000000000000000062e-03,8.999999999999999320e-03,1.000000000000000021e-03,2.300000000000000100e-01,-2.720000000000000195e-01,9.803000000000000824e+00,-2.767541217951262171e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999942555202055994e-01,7.990899682044982910e-02,7.801166176795959473e-02,9.260478615760803223e-02,6.858232617378234863e-02,6.733093261718750000e-01,6.639862060546875000e-01,7.316741943359375000e-01,6.153869628906250000e-01,3.604999999999999982e+00,3.252882476246685428e+01,1.062479495885781944e-04,7.196619990281760693e-04,-1.555187482153996825e-04,-1.299999999999999940e-02,-2.500000000000000139e-02,7.000000000000000146e-03
4.930800000000000000e+04,2.280000000000000082e-01,-1.100000000000000006e-01,7.880000000000000338e-01,2.000000000000000042e-03,8.999999999999999320e-03,1.000000000000000021e-03,1.000000000000000021e-03,-2.149999999999999967e-01,9.794000000000000483e+00,-2.767541217951262171e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999942555202055994e-01,7.728155702352523804e-02,7.990653067827224731e-02,8.369085937738418579e-02,7.816355675458908081e-02,6.603546142578125000e-01,6.732940673828125000e-01,6.914215087890625000e-01,6.647338867187500000e-01,3.604999999999999982e+00,3.252217164462494736e+01,1.517808268545195460e-04,2.651683171279728413e-04,-1.741394044074695557e-05,5.000000000000000104e-03,-2.000000000000000042e-03,-2.000000000000000042e-03
5.921200000000000000e+04,2.280000000000000082e-01,-1.100000000000000006e-01,7.880000000000000338e-01,2.000000000000000042e-03,1.200000000000000025e-02,0.000000000000000000e+00,9.500000000000000111e-02,5.600000000000000117e-02,9.737999999999999545e+00,-2.767541217951262171e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999942555202055994e-01,6.800957769155502319e-02,6.185952201485633850e-02,1.078021004796028137e-01,8.156662434339523315e-02,6.123199462890625000e-01,5.784149169921875000e-01,7.924499511718750000e-01,6.813201904296875000e-01,3.604999999999999982e+00,3.254208239089700783e+01,1.935339183546602726e-03,6.533168489113450050e-04,-1.943132374435663223e-04,1.200000000000000025e-02,4.000000000000000083e-03,2.000000000000000042e-03
6.909300000000000000e+04,2.280000000000000082e-01,-1.100000000000000006e-01,7.870000000000000329e-01,1.000000000000000021e-03,1.299999999999999940e-02,-3.000000000000000062e-03,7.799999999999999989e-02,-1.449999999999999900e-01,9.891999999999999460e+00,-2.767541217951262171e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999942555202055994e-01,7.201272249221801758e-02,7.570230960845947266e-02,8.935424685478210449e-02,8.308348059654235840e-02,6.335144042968750000e-01,6.524353027343750000e-01,7.173919677734375000e-01,6.885528564453125000e-01,3.604999999999999982e+00,3.263534755881772753e+01,8.041525143198668957e-04,3.239797952119261026e-04,-1.548711225041188300e-05,-1.000000000000000021e-03,1.899999999999999953e-02,1.200000000000000025e-02
7.898900000000000000e+04,2.280000000000000082e-01,-1.089999999999999997e-01,7.870000000000000329e-01,1.000000000000000021e-03,1.400000000000000029e-02,-4.000000000000000083e-03,4.599999999999999922e-02,1.539999999999999980e-01,9.928000000000000824e+00,-2.767541217951262171e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999942555202055994e-01,8.388429880142211914e-02,7.884056866168975830e-02,8.926831185817718506e-02,6.854981184005737305e-02,6.923217773437500000e-01,6.680755615234375000e-01,7.170104980468750000e-01,6.152191162109375000e-01,3.604999999999999982e+00,3.267512652001492768e+01,-1.596010115463286638e-04,5.098521942272782326e-04,-1.545734412502497435e-04,3.899999999999999994e-02,2.900000000000000147e-02,-4.000000000000000083e-03
8.887600000000000000e+04,2.280000000000000082e-01,-1.089999999999999997e-01,7.870000000000000329e-01,0.000000000000000000e+00,1.400000000000000029e-02,-3.000000000000000062e-03,6.199999999999999956e-02,-2.939999999999999836e-01,9.907999999999999474e+00,-2.767541217951262171e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999942555202055994e-01,7.874803990125656128e-02,8.572899550199508667e-02,8.397049456834793091e-02,7.182560116052627563e-02,6.676177978515625000e-01,7.009277343750000000e-01,6.927337646484375000e-01,6.325378417968750000e-01,3.604999999999999982e+00,3.264761785240834513e+01,-2.823638205882161856e-04,6.221044459380209446e-04,-3.098360684816725552e-05,8.599999999999999312e-02,4.000000000000000083e-02,1.099999999999999936e-02
9.877600000000000000e+04,2.280000000000000082e-01,-1.089999999999999997e-01,7.870000000000000329e-01,0.000000000000000000e+00,1.400000000000000029e-02,-3.000000000000000062e-03,2.179999999999999993e-01,1.140000000000000041e-01,9.776999999999999247e+00,-1.383770608975631086e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999971277642276668e-01,8.109051734209060669e-02,7.738500088453292847e-02,9.477064758539199829e-02,6.715258210897445679e-02,6.799926757812500000e-01,6.618194580078125000e-01,7.419891357421875000e-01,6.085815429687500000e-01,3.600000000000000089e+00,3.266042282578898437e+01,1.121432505897246301e-04,7.778016151860356331e-04,-1.879414485301822424e-04,8.300000000000000433e-02,1.600000000000000033e-02,1.000000000000000021e-03
1.086670000000000000e+05,2.280000000000000082e-01,-1.089999999999999997e-01,7.860000000000000320e-01,0.000000000000000000e+00,1.299999999999999940e-02,-3.000000000000000062e-03,-2.299999999999999961e-02,-2.200000000000000011e-01,9.830999999999999517e+00,-1.383770608975631086e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999971277642276668e-01,7.874934375286102295e-02,8.227632939815521240e-02,8.623851835727691650e-02,7.301031053066253662e-02,6.676330566406250000e-01,6.847076416015625000e-01,7.032775878906250000e-01,6.386871337890625000e-01,3.604999999999999982e+00,3.264775759826255808e+01,-5.779555795015767217e-05,5.449946038424968719e-04,-5.820727528771385550e-05,8.799999999999999489e-02,-1.000000000000000021e-03,8.999999999999999320e-03
1.185600000000000000e+05,2.280000000000000082e-01,-1.089999999999999997e-01,7.860000000000000320e-01,2.000000000000000042e-03,1.299999999999999940e-02,-3.000000000000000062e-03,1.809999999999999942e-01,1.189999999999999947e-01,9.730999999999999872e+00,-1.383770608975631086e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999971277642276668e-01,9.672750532627105713e-02,6.046769022941589355e-02,7.720272243022918701e-02,8.604946732521057129e-02,7.491455078125000000e-01,5.705108642578125000e-01,6.599731445312500000e-01,7.024078369140625000e-01,3.604999999999999982e+00,3.266538076566021687e+01,1.970156299648806453e-04,-1.467176713049411774e-03,-1.644783915253356099e-04,5.099999999999999672e-02,4.200000000000000261e-02,-4.000000000000000083e-03
1.284500000000000000e+05,2.280000000000000082e-01,-1.089999999999999997e-01,7.860000000000000320e-01,3.000000000000000062e-03,1.200000000000000025e-02,-4.000000000000000083e-03,3.059999999999999942e-01,-2.179999999999999993e-01,9.644999999999999574e+00,-1.383770608975631086e-03,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999971277642276668e-01,9.166079759597778320e-02,6.951926648616790771e-02,6.719760596752166748e-02,9.199836850166320801e-02,7.275695800781250000e-01,6.203918457031250000e-01,6.079254150390625000e-01,7.290496826171875000e-01,3.604999999999999982e+00,3.265810790533441121e+01,-6.453639070969074965e-05,-1.526887994259595871e-03,1.595540925336536020e-05,2.999999999999999889e-02,5.199999999999999761e-02,-3.000000000000000062e-03
1.383430000000000000e+05,2.280000000000000082e-01,-1.089999999999999997e-01,7.860000000000000320e-01,4.000000000000000083e-03,1.200000000000000025e-02,-4.000000000000000083e-03,6.900000000000000577e-02,-1.419999999999999873e-01,9.819000000000000838e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.383770608975631086e-03,9.999990425889925261e-01,9.105256944894790649e-02,7.532509416341781616e-02,8.544012159109115601e-02,6.880036741495132446e-02,7.249145507812500000e-01,6.505279541015625000e-01,6.995849609375000000e-01,6.165618896484375000e-01,3.604999999999999982e+00,3.268278823836985225e+01,-3.947848163079470396e-04,2.967318323499057442e-05,-1.942034432431682944e-04,3.699999999999999817e-02,3.000000000000000062e-03,4.000000000000000083e-03
1.482340000000000000e+05,2.280000000000000082e-01,-1.089999999999999997e-01,7.860000000000000320e-01,4.000000000000000083e-03,1.099999999999999936e-02,-4.000000000000000083e-03,2.599999999999999881e-02,-9.900000000000000466e-02,9.811999999999999389e+00,-0.000000000000000000e+00,-1.383770608975631086e-03,-0.000000000000000000e+00,9.999990425889925261e-01,7.824119925498962402e-02,8.871053159236907959e-02,7.949201762676239014e-02,7.410055398941040039e-02,6.651306152343750000e-01,7.145080566406250000e-01,6.712646484375000000e-01,6.442871093750000000e-01,3.604999999999999982e+00,3.267526018996242954e+01,-4.345320048741996288e-04,5.159029387868940830e-04,3.046718484256416559e-05,4.000000000000000083e-02,-7.599999999999999811e-02,1.000000000000000021e-03
1.581280000000000000e+05,2.290000000000000091e-01,-1.089999999999999997e-01,7.860000000000000320e-01,3.000000000000000062e-03,1.099999999999999936e-02,-3.000000000000000062e-03,1.049999999999999961e-01,-1.759999999999999898e-01,9.987999999999999545e+00,-0.000000000000000000e+00,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999980851770684520e-01,8.709710091352462769e-02,7.505952566862106323e-02,8.611796051263809204e-02,7.221276313066482544e-02,7.071990966796875000e-01,6.491851806640625000e-01,7.027130126953125000e-01,6.345520019531250000e-01,3.604999999999999982e+00,3.266945466110587404e+01,-1.244449958903715014e-04,6.074831253499723971e-05,-1.556566130602732301e-04,4.200000000000000261e-02,-6.800000000000000488e-02,-6.000000000000000125e-03
1.680170000000000000e+05,2.290000000000000091e-01,-1.089999999999999997e-01,7.860000000000000320e-01,3.000000000000000062e-03,1.000000000000000021e-02,-1.000000000000000021e-03,1.130000000000000032e-01,-2.139999999999999958e-01,9.971999999999999531e+00,-0.000000000000000000e+00,-1.383770608975631086e-03,-0.000000000000000000e+00,9.999990425889925261e-01,7.725170999765396118e-02,8.063574880361557007e-02,8.273572474718093872e-02,7.925476878881454468e-02,6.602172851562500000e-01,6.768341064453125000e-01,6.869049072265625000e-01,6.701049804687500000e-01,3.604999999999999982e+00,3.260733459095464326e+01,1.334595290245488286e-04,2.232974657090380788e-04,-5.815221015836868901e-07,2.299999999999999961e-02,-3.300000000000000155e-02,1.000000000000000021e-03
1.779110000000000000e+05,2.290000000000000091e-01,-1.089999999999999997e-01,7.860000000000000320e-01,2.000000000000000042e-03,1.000000000000000021e-02,0.000000000000000000e+00,-1.400000000000000029e-02,8.000000000000000167e-03,9.944000000000000838e+00,-0.000000000000000000e+00,-1.383770608975631086e-03,-1.383770608975631086e-03,9.999980851770684520e-01,8.677554130554199219e-02,7.514913380146026611e-02,8.432613313198089600e-02,7.357880473136901855e-02,7.057342529296875000e-01,6.496429443359375000e-01,6.943969726562500000e-01,6.416168212890625000e-01,3.604999999999999982e+00,3.260240703061693779e+01,-1.307495549554005265e-04,-2.859394226106815040e-05,-1.342424802714958787e-04,-2.100000000000000130e-02,-3.599999999999999728e-02,2.000000000000000042e-03
