# time[ms],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],qx,qy,qz,qw,u1[N],u2[N],u3[N],u4[N],u1[PWM],u2[PWM],u3[PWM],u4[PWM],Vbat[V],thrust_des[g],torquex[Nm],torquey[Nm],torquez[Nm],wx[rad/s],wy[rad/s],wz[rad/s]
9.445000000000000000e+03,-2.389999999999999902e-01,-1.120000000000000023e-01,1.219999999999999973e+00,1.700000000000000122e-02,-8.999999999999999320e-03,1.499999999999999944e-02,4.510000000000000120e-01,-1.340000000000000080e-01,9.778000000000000469e+00,1.383770608975631086e-03,6.918853044878154994e-03,6.918853044878154994e-03,9.999511708698523016e-01,1.749868988990783691e-01,1.496613323688507080e-01,1.558414399623870850e-01,1.470858454704284668e-01,6.712646484375000000e-01,6.038818359375000000e-01,6.211242675781250000e-01,5.965576171875000000e-01,3.725999999999999979e+00,6.397303941903614799e+01,-9.215419413521885872e-04,-7.030044216662645340e-04,-2.044868742814287543e-04,3.500000000000000333e-02,6.600000000000000311e-02,1.700000000000000122e-02
1.932500000000000000e+04,-2.389999999999999902e-01,-1.130000000000000032e-01,1.219999999999999973e+00,1.799999999999999864e-02,-1.000000000000000021e-02,1.299999999999999940e-02,5.570000000000000506e-01,-2.550000000000000044e-01,9.759000000000000341e+00,1.383770608975631086e-03,6.918853044878154994e-03,6.918853044878154994e-03,9.999511708698523016e-01,1.711608916521072388e-01,1.535462290048599243e-01,1.603255718946456909e-01,1.430989354848861694e-01,6.616363525390625000e-01,6.147918701171875000e-01,6.333160400390625000e-01,5.850067138671875000e-01,3.725999999999999979e+00,6.402972762859317868e+01,-9.029436623677611351e-04,-1.646244709263555706e-05,-2.090478228637948632e-04,-8.000000000000000167e-03,7.000000000000000666e-02,1.600000000000000033e-02
2.918700000000000000e+04,-2.389999999999999902e-01,-1.130000000000000032e-01,1.219999999999999973e+00,1.799999999999999864e-02,-1.000000000000000021e-02,1.200000000000000025e-02,4.859999999999999876e-01,-2.200000000000000011e-01,9.640000000000000568e+00,1.383770608975631086e-03,8.302623653853785646e-03,6.918853044878154994e-03,9.999406387840767962e-01,1.552444547414779663e-01,1.430740803480148315e-01,1.725118607282638550e-01,1.577889770269393921e-01,6.194915771484375000e-01,5.849456787109375000e-01,6.650543212890625000e-01,6.264495849609375000e-01,3.725999999999999979e+00,6.407944677315963133e+01,1.356894965283572674e-03,1.082937451428733766e-04,-1.613595813978463411e-04,-2.400000000000000050e-02,3.599999999999999728e-02,3.000000000000000062e-03
3.905600000000000000e+04,-2.389999999999999902e-01,-1.130000000000000032e-01,1.219999999999999973e+00,1.899999999999999953e-02,-1.000000000000000021e-02,8.000000000000000167e-03,3.300000000000000155e-01,-7.000000000000000146e-03,9.516999999999999460e+00,1.383770608975631086e-03,8.302623653853785646e-03,6.918853044878154994e-03,9.999406387840767962e-01,1.551916748285293579e-01,1.545007675886154175e-01,1.729635149240493774e-01,1.463342756032943726e-01,6.193389892578125000e-01,6.174316406250000000e-01,6.661987304687500000e-01,5.943908691406250000e-01,3.725999999999999979e+00,6.411725106467771695e+01,4.075200122315436602e-04,1.100471010431647301e-03,-1.639207330299541354e-04,-8.899999999999999578e-02,1.700000000000000122e-02,3.000000000000000062e-03
4.892500000000000000e+04,-2.389999999999999902e-01,-1.130000000000000032e-01,1.219999999999999973e+00,1.899999999999999953e-02,-8.999999999999999320e-03,6.000000000000000125e-03,2.869999999999999774e-01,3.599999999999999728e-02,9.785000000000000142e+00,1.383770608975631086e-03,8.302623653853785646e-03,6.918853044878154994e-03,9.999406387840767962e-01,1.492815762758255005e-01,1.278770118951797485e-01,1.817898899316787720e-01,1.707766205072402954e-01,6.028137207031250000e-01,5.389862060546875000e-01,6.878814697265625000e-01,6.606597900390625000e-01,3.725999999999999979e+00,6.419216091844285188e+01,3.199287923052906990e-03,-4.408641543705016375e-04,-1.945071126101538539e-04,-7.699999999999999900e-02,3.400000000000000244e-02,1.000000000000000021e-02
5.879900000000000000e+04,-2.389999999999999902e-01,-1.130000000000000032e-01,1.219999999999999973e+00,2.000000000000000042e-02,-8.999999999999999320e-03,1.000000000000000021e-02,6.079999999999999849e-01,3.300000000000000155e-02,9.814999999999999503e+00,0.000000000000000000e+00,8.302623653853785646e-03,6.918853044878154994e-03,9.999415962510039835e-01,1.499668359756469727e-01,1.503138244152069092e-01,1.796513199806213379e-01,1.485940515995025635e-01,6.047515869140625000e-01,6.057281494140625000e-01,6.827239990234375000e-01,6.008605957031250000e-01,3.725999999999999979e+00,6.406993190325971455e+01,1.186443027108907700e-03,1.332369400188326836e-03,-1.842616766225546598e-04,-8.400000000000000522e-02,-1.499999999999999944e-02,7.000000000000000146e-03
6.866500000000000000e+04,-2.389999999999999902e-01,-1.130000000000000032e-01,1.219999999999999973e+00,2.000000000000000042e-02,-8.999999999999999320e-03,1.200000000000000025e-02,4.500000000000000111e-01,-1.859999999999999987e-01,9.851000000000000867e+00,-0.000000000000000000e+00,8.302623653853785646e-03,6.918853044878154994e-03,9.999415962510039835e-01,1.532553434371948242e-01,1.390051543712615967e-01,1.789770126342773438e-01,1.567262113094329834e-01,6.139831542968750000e-01,5.729522705078125000e-01,6.810760498046875000e-01,6.235504150390625000e-01,3.725999999999999979e+00,6.401261179940537716e+01,1.843119272962212563e-03,3.394379164092242718e-04,-2.190058294218033552e-04,-4.900000000000000189e-02,-5.000000000000000104e-03,1.499999999999999944e-02
7.854400000000000000e+04,-2.389999999999999902e-01,-1.130000000000000032e-01,1.221000000000000085e+00,2.100000000000000130e-02,-8.000000000000000167e-03,1.200000000000000025e-02,4.470000000000000084e-01,1.600000000000000033e-01,9.848000000000000753e+00,-0.000000000000000000e+00,6.918853044878154994e-03,6.918853044878154994e-03,9.999521283266947780e-01,1.584753394126892090e-01,1.490998268127441406e-01,1.757614016532897949e-01,1.443974971771240234e-01,6.283264160156250000e-01,6.022949218750000000e-01,6.731872558593750000e-01,5.887908935546875000e-01,3.725999999999999979e+00,6.398920133087126771e+01,5.338830524124205112e-04,9.328877204097807407e-04,-2.444365527480840683e-04,-6.400000000000000133e-02,-2.900000000000000147e-02,2.000000000000000042e-02
8.840500000000000000e+04,-2.389999999999999902e-01,-1.130000000000000032e-01,1.221000000000000085e+00,2.100000000000000130e-02,-7.000000000000000146e-03,1.200000000000000025e-02,4.819999999999999840e-01,8.899999999999999578e-02,9.714999999999999858e+00,-1.383770608975631086e-03,6.918853044878154994e-03,6.918853044878154994e-03,9.999511708698523016e-01,1.516622006893157959e-01,1.403442323207855225e-01,1.827010512351989746e-01,1.529883742332458496e-01,6.095275878906250000e-01,5.769195556640625000e-01,6.900482177734375000e-01,6.132354736328125000e-01,3.725999999999999979e+00,6.398530667467340294e+01,1.853312249295413494e-03,7.804202614352107048e-04,-2.461838012095540762e-04,-2.000000000000000042e-02,-8.000000000000000167e-03,1.899999999999999953e-02
9.827600000000000000e+04,-2.389999999999999902e-01,-1.130000000000000032e-01,1.221000000000000085e+00,2.100000000000000130e-02,-7.000000000000000146e-03,1.000000000000000021e-02,4.349999999999999978e-01,-2.900000000000000147e-02,9.803000000000000824e+00,-1.383770608975631086e-03,6.918853044878154994e-03,6.918853044878154994e-03,9.999511708698523016e-01,1.615368574857711792e-01,1.392238289117813110e-01,1.726750582456588745e-01,1.542788296937942505e-01,6.365661621093750000e-01,5.735931396484375000e-01,6.654663085937500000e-01,6.168212890625000000e-01,3.725999999999999979e+00,6.398721450937874522e+01,1.111283898353576660e-03,-1.661758287809789181e-04,-2.442555851303040981e-04,-1.099999999999999936e-02,-6.000000000000000125e-03,1.700000000000000122e-02
